dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/chest_50.pickle,0,[0.00085844 0.00109875 0.00082648 ... 0.00067442 0.00093048 0.00116377],0.186,12.022,111.457,2025-05-02 14:07:44
data/ct_data/chest_50.pickle,1,[0.00022839 0.00015854 0.00021896 ... 0.00024446 0.00020751 0.00018753],0.198,9.649,94.788,2025-05-02 14:07:49
data/ct_data/chest_50.pickle,2,"[5.0713097e-05 3.6193062e-05 5.1698120e-05 ... 3.3990702e-05 5.0005805e-05
 4.2044980e-05]",0.272,10.53,84.663,2025-05-02 14:07:54
data/ct_data/chest_50.pickle,3,"[1.1363121e-05 1.1695779e-05 7.0840529e-06 ... 1.8957291e-05 1.5091567e-05
 1.2805569e-05]",0.326,10.237,77.215,2025-05-02 14:07:59
data/ct_data/chest_50.pickle,4,"[1.36660710e-05 1.09636949e-05 8.15763269e-06 ... 1.11611325e-05
 7.08308198e-06 8.03707553e-06]",0.374,11.279,79.846,2025-05-02 14:08:04
data/ct_data/chest_50.pickle,5,"[3.2044347e-06 1.0823897e-05 3.4709917e-06 ... 3.4045829e-06 6.2872004e-06
 6.4103574e-06]",0.401,11.669,79.733,2025-05-02 14:08:10
data/ct_data/chest_50.pickle,6,"[5.8878250e-06 2.6374037e-06 2.1332157e-06 ... 2.1051928e-06 1.7986141e-06
 2.1764574e-06]",0.424,12.045,81.506,2025-05-02 14:08:15
data/ct_data/chest_50.pickle,7,"[4.0408622e-06 1.1600969e-06 1.4949111e-06 ... 2.3494777e-06 3.9923498e-06
 3.1414622e-06]",0.441,12.281,81.842,2025-05-02 14:08:20
data/ct_data/chest_50.pickle,8,"[1.6809234e-06 2.1177245e-06 1.5324156e-06 ... 3.2272731e-06 5.1796028e-06
 2.6943078e-06]",0.456,12.409,80.856,2025-05-02 14:08:25
data/ct_data/chest_50.pickle,9,"[1.1904079e-06 1.6164499e-06 2.4829453e-06 ... 1.9029362e-06 9.1072400e-07
 2.0774623e-06]",0.467,12.682,80.93,2025-05-02 14:08:30
data/ct_data/chest_50.pickle,10,"[1.6572062e-06 1.2928535e-06 3.1026257e-06 ... 1.7134972e-06 2.5312634e-06
 1.7980951e-06]",0.488,13.004,79.444,2025-05-02 14:08:35
data/ct_data/chest_50.pickle,11,"[1.7819450e-06 1.2931324e-06 2.6066677e-06 ... 1.5235908e-06 1.9909924e-06
 7.9602478e-07]",0.48,13.06,80.389,2025-05-02 14:08:41
data/ct_data/chest_50.pickle,12,"[1.6473365e-06 9.0382883e-07 1.6064063e-06 ... 2.5015759e-06 1.7916396e-06
 3.3130241e-06]",0.513,13.222,78.182,2025-05-02 14:08:46
data/ct_data/chest_50.pickle,13,"[2.6174375e-06 6.1328401e-06 1.2551313e-06 ... 2.9119872e-06 1.5474209e-06
 2.5358752e-06]",0.486,12.659,80.025,2025-05-02 14:08:52
data/ct_data/chest_50.pickle,14,"[2.4196740e-06 3.6566896e-06 3.5618700e-06 ... 1.8826639e-06 1.8385773e-06
 1.6989105e-06]",0.511,12.983,77.574,2025-05-02 14:08:57
data/ct_data/chest_50.pickle,15,"[4.0746127e-06 2.1631852e-06 1.4164594e-06 ... 1.4842282e-06 3.0786387e-06
 1.4132285e-06]",0.501,13.077,78.771,2025-05-02 14:09:02
data/ct_data/chest_50.pickle,16,"[1.3719171e-06 2.2002350e-06 3.5817857e-06 ... 1.5194760e-06 1.7365102e-06
 1.3379466e-06]",0.508,12.931,77.421,2025-05-02 14:09:07
data/ct_data/chest_50.pickle,17,"[1.2304615e-06 1.3244664e-06 2.2065610e-06 ... 3.3788199e-06 2.0082130e-06
 1.5985391e-06]",0.533,14.311,76.041,2025-05-02 14:09:12
data/ct_data/chest_50.pickle,18,"[2.4615513e-06 1.7756529e-06 1.3785991e-06 ... 1.4878628e-06 9.4807370e-07
 1.1555163e-06]",0.508,12.754,78.276,2025-05-02 14:09:17
data/ct_data/chest_50.pickle,19,"[1.7898495e-06 9.9660633e-07 1.3092806e-06 ... 1.4195731e-06 9.0985640e-07
 1.2425262e-06]",0.527,13.534,77.735,2025-05-02 14:09:22
data/ct_data/chest_50.pickle,20,"[9.2657467e-07 2.1249948e-06 1.2047279e-06 ... 1.4001225e-06 1.0581844e-06
 1.3884490e-06]",0.559,13.906,75.169,2025-05-02 14:09:27
data/ct_data/chest_50.pickle,21,"[3.8285890e-07 1.1702655e-06 1.1375606e-06 ... 9.3442424e-07 5.3838602e-07
 1.4750241e-06]",0.543,13.674,76.976,2025-05-02 14:09:33
data/ct_data/chest_50.pickle,22,"[8.1099409e-07 9.7377699e-07 8.0755899e-07 ... 2.0829743e-06 9.3115682e-07
 9.8539658e-07]",0.581,14.543,73.171,2025-05-02 14:09:39
data/ct_data/chest_50.pickle,23,"[9.1773489e-07 1.0142053e-06 7.3642644e-07 ... 1.3335547e-06 7.7369782e-07
 5.5090862e-07]",0.567,14.522,74.001,2025-05-02 14:09:44
data/ct_data/chest_50.pickle,24,"[7.0983123e-07 6.6935507e-07 6.7353312e-07 ... 1.0994527e-06 1.9454259e-07
 7.2138062e-07]",0.593,15.026,73.662,2025-05-02 14:09:49
data/ct_data/chest_50.pickle,25,"[6.8442824e-07 8.1212505e-07 7.9738857e-07 ... 3.1127240e-07 6.8798420e-07
 1.0931280e-06]",0.59,15.198,73.361,2025-05-02 14:09:54
