dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/chest_50.pickle,0,"[1.2099084e-04 6.4060623e-05 7.5305412e-05 ... 9.5150477e-05 8.0774873e-05
 1.1314346e-04]",0.317,13.342,76.665,2025-05-03 21:45:11
data/ct_data/chest_50.pickle,1,"[7.0130161e-05 4.8173410e-05 4.7411108e-05 ... 3.2496268e-05 3.6725905e-05
 5.6756544e-05]",0.377,16.108,76.352,2025-05-03 21:46:21
data/ct_data/chest_50.pickle,2,"[4.2933523e-05 1.8867238e-05 1.5590424e-05 ... 1.0056414e-05 1.6108186e-05
 2.2078515e-05]",0.374,15.05,81.684,2025-05-03 21:47:33
data/ct_data/chest_50.pickle,3,"[1.5540074e-05 8.2050192e-06 5.5624400e-06 ... 6.7658084e-06 4.1485814e-06
 5.2952896e-06]",0.428,16.715,79.508,2025-05-03 21:48:46
data/ct_data/chest_50.pickle,4,"[1.5138618e-05 4.9077221e-06 3.4192374e-06 ... 4.8641955e-06 2.3850937e-06
 9.5181385e-06]",0.444,17.651,77.734,2025-05-03 21:50:00
data/ct_data/chest_50.pickle,5,"[1.1763984e-05 2.7301558e-06 3.8841317e-06 ... 4.0331993e-06 8.4823359e-06
 5.5002333e-06]",0.481,18.461,77.671,2025-05-03 21:51:13
data/ct_data/chest_50.pickle,6,"[1.23685295e-05 3.25980864e-06 5.38872155e-06 ... 2.21400774e-06
 3.88827766e-06 4.61325544e-06]",0.501,19.377,73.756,2025-05-03 21:52:34
data/ct_data/chest_50.pickle,7,"[8.1604749e-06 2.1954240e-06 3.3802428e-06 ... 2.4541046e-06 2.7084118e-06
 3.1516361e-06]",0.521,20.026,73.812,2025-05-03 21:53:46
data/ct_data/chest_50.pickle,8,"[8.8797824e-06 3.0227698e-06 1.7365792e-06 ... 2.2142603e-06 1.4028982e-06
 4.0472278e-06]",0.542,20.431,70.544,2025-05-03 21:54:56
data/ct_data/chest_50.pickle,9,"[1.0765233e-05 4.1182093e-06 1.7978564e-06 ... 1.6608923e-06 1.8329198e-06
 3.5976589e-06]",0.553,20.738,69.977,2025-05-03 21:56:15
