dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/foot_50.pickle,0,[0.00343768 0.00364669 0.00355862 ... 0.00358699 0.00365518 0.00372531],0.128,13.414,90.08,2025-05-02 17:54:06
data/ct_data/foot_50.pickle,1,[0.00021392 0.00015744 0.00028247 ... 0.00021158 0.00035518 0.00033164],0.142,13.62,87.47,2025-05-02 17:54:48
data/ct_data/foot_50.pickle,2,[0.00034565 0.00030227 0.0001413  ... 0.0001639  0.00017233 0.00025569],0.144,13.588,86.886,2025-05-02 17:55:28
data/ct_data/foot_50.pickle,3,[0.00029037 0.00014734 0.00023358 ... 0.00026684 0.000137   0.00025776],0.147,13.577,86.05,2025-05-02 17:56:12
data/ct_data/foot_50.pickle,4,[0.00034145 0.00028785 0.00015472 ... 0.00010074 0.00034733 0.00023884],0.151,13.589,84.906,2025-05-02 17:56:55
data/ct_data/foot_50.pickle,5,"[2.3751067e-04 1.0675328e-04 1.8608822e-04 ... 3.9364822e-04 2.4782732e-04
 7.3202842e-05]",0.156,13.586,83.679,2025-05-02 17:57:38
data/ct_data/foot_50.pickle,6,[0.0002167  0.00023062 0.00022114 ... 0.00018934 0.00026686 0.00038984],0.163,13.625,82.073,2025-05-02 17:58:22
data/ct_data/foot_50.pickle,7,[0.00018341 0.00034384 0.00012273 ... 0.00024585 0.00015732 0.00025281],0.173,13.677,80.781,2025-05-02 17:59:04
data/ct_data/foot_50.pickle,8,"[2.5503946e-04 8.6035107e-05 2.4516406e-04 ... 1.9184682e-04 1.2976742e-04
 2.0118152e-04]",0.188,13.662,79.459,2025-05-02 17:59:47
data/ct_data/foot_50.pickle,9,"[1.2553297e-04 2.9478726e-04 2.4261770e-05 ... 2.4279326e-04 1.9936764e-04
 2.2251964e-04]",0.204,13.766,78.448,2025-05-02 18:00:28
data/ct_data/foot_50.pickle,10,[0.00023877 0.00018633 0.00025084 ... 0.00017326 0.00016416 0.00018456],0.198,13.496,78.232,2025-05-02 18:01:11
data/ct_data/foot_50.pickle,11,[0.00011844 0.00014675 0.00012417 ... 0.00026802 0.00012492 0.00021459],0.087,11.678,101.253,2025-05-02 18:02:01
data/ct_data/foot_50.pickle,12,"[9.0443617e-05 2.0377888e-04 1.0108796e-04 ... 6.2206440e-05 1.1671555e-04
 9.5264462e-05]",0.3,14.227,60.258,2025-05-02 18:02:43
data/ct_data/foot_50.pickle,13,"[1.8025406e-05 6.0659000e-05 2.9656127e-05 ... 2.8422844e-05 3.0531239e-05
 3.3215339e-05]",0.523,15.81,44.068,2025-05-02 18:03:23
data/ct_data/foot_50.pickle,14,"[7.6439419e-06 1.8937864e-05 1.9675696e-05 ... 2.4667110e-05 8.3830009e-06
 1.8703473e-05]",0.496,17.277,44.379,2025-05-02 18:04:04
data/ct_data/foot_50.pickle,15,"[6.3623579e-06 2.4276949e-05 8.7651670e-06 ... 1.1919911e-05 1.3243427e-05
 9.6582035e-06]",0.561,17.815,37.495,2025-05-02 18:04:44
data/ct_data/foot_50.pickle,16,"[1.2372491e-05 1.2888112e-05 8.0074069e-06 ... 7.0155115e-06 2.0079880e-05
 6.6698926e-06]",0.523,17.015,40.875,2025-05-02 18:05:25
data/ct_data/foot_50.pickle,17,"[6.66212827e-06 9.34606396e-06 1.73801109e-05 ... 1.37278348e-05
 1.09869825e-05 2.15735527e-05]",0.567,17.56,36.762,2025-05-02 18:06:06
data/ct_data/foot_50.pickle,18,"[8.7013977e-06 9.0655622e-06 7.1216728e-06 ... 1.4062679e-05 2.8182549e-06
 4.5218171e-06]",0.577,17.739,37.569,2025-05-02 18:06:47
data/ct_data/foot_50.pickle,19,"[3.1432885e-06 5.9142271e-06 5.3296103e-06 ... 3.7634675e-06 5.4407337e-06
 2.4332837e-06]",0.638,19.028,33.414,2025-05-02 18:07:27
data/ct_data/foot_50.pickle,20,"[5.0583826e-06 3.2481394e-06 9.9564577e-06 ... 1.2425254e-05 4.5043380e-06
 2.2265631e-06]",0.642,19.592,34.082,2025-05-02 18:08:08
data/ct_data/foot_50.pickle,21,"[2.1803080e-06 6.5673480e-06 2.6069342e-06 ... 1.7962609e-06 2.1138321e-06
 3.5171463e-06]",0.667,20.282,32.311,2025-05-02 18:08:56
data/ct_data/foot_50.pickle,22,"[3.5133394e-06 2.7859382e-06 1.9659421e-06 ... 1.3472553e-06 2.5340307e-06
 1.1321715e-06]",0.671,20.819,32.506,2025-05-02 18:09:36
data/ct_data/foot_50.pickle,23,"[2.8978916e-06 1.3413124e-06 2.3927846e-06 ... 1.6090213e-06 2.3353923e-06
 1.6569621e-06]",0.694,21.452,30.977,2025-05-02 18:10:16
data/ct_data/foot_50.pickle,24,"[6.5035933e-06 2.7882040e-06 2.4045094e-06 ... 4.7053286e-06 2.4384358e-06
 2.2320451e-06]",0.699,21.959,30.928,2025-05-02 18:10:57
data/ct_data/foot_50.pickle,25,"[1.4243544e-06 1.5106261e-06 4.5739689e-06 ... 1.8646483e-06 1.4102396e-06
 4.3251193e-06]",0.712,22.41,29.907,2025-05-02 18:11:37
data/ct_data/foot_50.pickle,26,"[1.7792056e-06 1.6435184e-06 2.5808934e-06 ... 1.0398475e-06 2.7253159e-06
 2.0649029e-06]",0.715,22.627,29.917,2025-05-02 18:12:18
data/ct_data/foot_50.pickle,27,"[2.1027745e-06 4.4873977e-07 3.3193310e-06 ... 1.9140548e-06 1.4831160e-06
 3.2169232e-06]",0.72,22.972,29.389,2025-05-02 18:12:58
data/ct_data/foot_50.pickle,28,"[3.1683271e-06 1.7990615e-06 1.3975983e-06 ... 3.0141050e-06 1.2358482e-06
 1.2724872e-06]",0.726,23.195,29.153,2025-05-02 18:13:38
data/ct_data/foot_50.pickle,29,"[1.4288822e-06 3.6673300e-06 5.1934344e-06 ... 2.3496502e-06 3.1973050e-06
 2.2578929e-06]",0.731,23.597,28.407,2025-05-02 18:14:18
data/ct_data/foot_50.pickle,30,"[2.0122318e-06 2.9241087e-06 1.5390411e-06 ... 1.2154626e-06 1.5782094e-06
 1.7495381e-06]",0.733,23.865,28.46,2025-05-02 18:14:59
data/ct_data/foot_50.pickle,31,"[2.1822477e-06 2.0547204e-06 9.9565557e-07 ... 2.1172484e-06 1.2925625e-06
 1.6856834e-06]",0.741,24.149,27.486,2025-05-02 18:15:48
data/ct_data/foot_50.pickle,32,"[2.0847428e-06 1.2428324e-06 8.9095653e-07 ... 7.7469360e-07 9.5936150e-07
 1.3078036e-06]",0.74,24.334,27.915,2025-05-02 18:16:28
data/ct_data/foot_50.pickle,33,"[8.2693953e-07 1.3230029e-06 2.1215644e-06 ... 2.0240068e-06 1.3107996e-06
 3.4754580e-06]",0.746,24.398,27.228,2025-05-02 18:17:08
data/ct_data/foot_50.pickle,34,"[1.7285556e-06 1.2645786e-06 1.2939387e-06 ... 2.9732071e-06 2.2462807e-06
 1.3043069e-06]",0.745,24.711,27.626,2025-05-02 18:17:48
data/ct_data/foot_50.pickle,35,"[8.9411077e-07 9.3464945e-07 1.0675732e-06 ... 1.7342079e-06 1.5973591e-06
 2.3701059e-06]",0.75,24.725,26.86,2025-05-02 18:18:29
data/ct_data/foot_50.pickle,36,"[6.6198646e-07 3.4684736e-06 1.3107014e-06 ... 4.3922123e-06 1.9808372e-06
 1.9044571e-06]",0.75,25.001,27.38,2025-05-02 18:19:10
data/ct_data/foot_50.pickle,37,"[1.4521502e-06 8.2180765e-07 8.7925201e-07 ... 1.2039983e-06 2.7388987e-07
 1.6007247e-06]",0.755,24.988,26.506,2025-05-02 18:19:52
data/ct_data/foot_50.pickle,38,"[7.0734734e-07 6.7389891e-07 6.4370511e-07 ... 2.0718421e-06 1.8406988e-06
 1.4940911e-06]",0.755,25.297,26.917,2025-05-02 18:20:34
data/ct_data/foot_50.pickle,39,"[1.9859608e-06 1.7808301e-06 1.4723770e-06 ... 4.5255015e-07 2.0526197e-06
 2.3813734e-06]",0.76,25.341,26.078,2025-05-02 18:21:15
data/ct_data/foot_50.pickle,40,"[9.7633745e-07 9.1220397e-07 9.0087349e-07 ... 1.4126626e-06 8.5660508e-07
 1.3809226e-06]",0.761,25.569,26.433,2025-05-02 18:21:57
data/ct_data/foot_50.pickle,41,"[8.2218065e-07 1.9683723e-06 2.1737853e-06 ... 1.2054549e-06 1.6287903e-06
 5.0533754e-07]",0.766,25.767,25.584,2025-05-02 18:22:47
data/ct_data/foot_50.pickle,42,"[3.2489509e-06 1.0196112e-06 4.4388489e-07 ... 4.4575839e-07 6.8168288e-07
 2.5473048e-06]",0.766,25.666,26.119,2025-05-02 18:23:28
data/ct_data/foot_50.pickle,43,"[8.8661830e-07 5.2942204e-07 5.8894778e-07 ... 1.7829042e-06 1.2460372e-06
 4.1623986e-07]",0.77,25.839,25.6,2025-05-02 18:24:09
data/ct_data/foot_50.pickle,44,"[4.8945452e-07 8.2146204e-07 5.7139329e-07 ... 8.0652046e-07 5.9176006e-07
 4.9524823e-07]",0.772,25.949,25.577,2025-05-02 18:24:51
data/ct_data/foot_50.pickle,45,"[1.3704635e-06 3.5935082e-07 1.3124911e-06 ... 9.5505345e-07 1.1337689e-06
 7.0290292e-07]",0.774,26.128,25.276,2025-05-02 18:25:32
data/ct_data/foot_50.pickle,46,"[1.2825178e-06 9.0510940e-07 1.1591402e-06 ... 5.3676905e-07 1.7570591e-06
 7.9173446e-07]",0.776,26.216,25.145,2025-05-02 18:26:13
data/ct_data/foot_50.pickle,47,"[2.3348082e-07 7.6802405e-07 7.3932870e-07 ... 1.0650535e-06 1.1390591e-06
 7.0691618e-07]",0.779,26.393,24.921,2025-05-02 18:26:54
data/ct_data/foot_50.pickle,48,"[7.8306249e-07 1.0250141e-06 6.9062588e-07 ... 1.1486849e-06 5.5237854e-07
 1.1249640e-06]",0.779,26.367,24.997,2025-05-02 18:27:36
data/ct_data/foot_50.pickle,49,"[6.4117251e-07 7.2011562e-07 1.7955589e-06 ... 3.1522615e-07 4.7200788e-07
 4.7067650e-07]",0.781,26.399,25.036,2025-05-02 18:28:17
data/ct_data/foot_50.pickle,50,"[4.9070042e-07 5.8579656e-07 2.6365169e-07 ... 1.8326031e-07 9.5997291e-07
 2.4717122e-07]",0.781,26.439,24.917,2025-05-02 18:28:58
data/ct_data/foot_50.pickle,51,"[6.0957643e-07 1.2045545e-06 5.7804232e-07 ... 9.1740070e-08 4.4606011e-07
 9.0558495e-07]",0.783,26.575,24.801,2025-05-02 18:29:46
