dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/abdomen_50.pickle,0,[0.00586334 0.00726857 0.00668297 ... 0.00712656 0.00699529 0.00676028],0.37563660740852356,11.483780860900879,114.0622787475586,2025-05-02 11:13:31
data/ct_data/abdomen_50.pickle,1,[0.00133404 0.00139098 0.00064937 ... 0.0010788  0.00130658 0.00099977],0.3293285369873047,13.607208251953125,89.32332611083984,2025-05-02 11:13:49
data/ct_data/abdomen_50.pickle,2,[0.00056418 0.00019471 0.00040088 ... 0.00056256 0.00045731 0.00033795],0.3374829888343811,10.486734390258789,91.12633514404297,2025-05-02 11:14:08
data/ct_data/abdomen_50.pickle,3,[0.0002032  0.0003906  0.00028208 ... 0.00012711 0.00024447 0.00014581],0.35690921545028687,9.335901260375977,97.84989166259766,2025-05-02 11:14:27
data/ct_data/abdomen_50.pickle,4,"[1.21856843e-04 1.00999932e-04 1.53824352e-04 ... 8.57010091e-05
 1.10646055e-04 8.34204620e-05]",0.3544166088104248,9.36461067199707,97.2618179321289,2025-05-02 11:14:45
data/ct_data/abdomen_50.pickle,5,"[4.74095614e-05 6.47737106e-05 1.02187674e-04 ... 1.02848076e-04
 8.32743099e-05 5.41163645e-05]",0.3549913167953491,9.498614311218262,92.60868835449219,2025-05-02 11:15:03
data/ct_data/abdomen_50.pickle,6,"[6.5413347e-05 2.0253628e-05 4.3592718e-05 ... 4.3165765e-05 4.8518825e-05
 3.8665832e-05]",0.379880428314209,11.056404113769531,94.85631561279297,2025-05-02 11:15:22
data/ct_data/abdomen_50.pickle,7,"[3.2457130e-05 2.8596598e-05 4.3460954e-05 ... 3.8780679e-05 5.8405618e-05
 1.9138797e-05]",0.3867581784725189,11.22695541381836,92.3731460571289,2025-05-02 11:15:41
data/ct_data/abdomen_50.pickle,8,"[2.1720431e-05 1.6223845e-05 2.5900175e-05 ... 6.6084881e-06 2.0852689e-05
 1.5414147e-05]",0.3924421966075897,11.259448051452637,89.7650375366211,2025-05-02 11:15:59
data/ct_data/abdomen_50.pickle,9,"[1.4996120e-05 1.4036698e-05 1.2507611e-05 ... 3.2998701e-05 1.6228212e-05
 1.7372618e-05]",0.40218132734298706,11.455456733703613,88.67884063720703,2025-05-02 11:16:18
data/ct_data/abdomen_50.pickle,10,"[1.2973009e-05 1.5979822e-05 1.6059721e-05 ... 1.0099781e-05 1.3048184e-05
 8.0066147e-06]",0.41637489199638367,11.817730903625488,87.80364990234375,2025-05-02 11:16:36
data/ct_data/abdomen_50.pickle,11,"[8.0093841e-06 1.3391466e-05 1.6772756e-05 ... 1.6014792e-05 1.2206567e-05
 2.3549146e-05]",0.4462266266345978,12.848514556884766,84.877197265625,2025-05-02 11:17:12
data/ct_data/abdomen_50.pickle,12,"[6.8960917e-06 5.8023288e-06 4.4188923e-06 ... 1.3764027e-05 8.6859873e-06
 2.1593834e-05]",0.4763333797454834,13.955974578857422,83.85234832763672,2025-05-02 11:17:30
data/ct_data/abdomen_50.pickle,13,"[8.9391424e-06 1.0727601e-05 5.5899982e-06 ... 3.9351398e-06 2.7313039e-05
 9.7600769e-06]",0.5148063898086548,15.562739372253418,85.4693832397461,2025-05-02 11:17:49
data/ct_data/abdomen_50.pickle,14,"[2.6296284e-05 6.3421771e-06 1.0520253e-05 ... 6.1963110e-06 6.4852302e-06
 7.1205127e-06]",0.5446130633354187,16.92020606994629,83.7382583618164,2025-05-02 11:18:08
data/ct_data/abdomen_50.pickle,15,"[5.1180441e-06 5.7155198e-06 3.6290623e-06 ... 9.9793260e-06 2.3402345e-06
 1.0412785e-05]",0.5578010082244873,17.460941314697266,82.32525634765625,2025-05-02 11:18:26
data/ct_data/abdomen_50.pickle,16,"[9.6694030e-06 4.1573985e-06 5.8334363e-06 ... 5.5584592e-06 4.6498108e-06
 3.6997806e-06]",0.5706777572631836,18.034038543701172,81.29280090332031,2025-05-02 11:18:45
data/ct_data/abdomen_50.pickle,17,"[4.1321082e-06 3.2114954e-06 9.1041493e-06 ... 7.7109717e-06 8.6447944e-06
 4.6594291e-06]",0.5769766569137573,18.23700523376465,80.57769775390625,2025-05-02 11:19:03
data/ct_data/abdomen_50.pickle,18,"[3.7472223e-06 5.6786098e-06 3.6545891e-06 ... 3.8145599e-06 3.1120178e-06
 3.3077940e-06]",0.5789223909378052,18.246417999267578,80.5501937866211,2025-05-02 11:19:22
data/ct_data/abdomen_50.pickle,19,"[7.8627900e-06 2.7164933e-06 3.0837464e-06 ... 4.1428448e-06 3.1693528e-06
 5.2677228e-06]",0.5775779485702515,18.004968643188477,80.50130462646484,2025-05-02 11:19:40
data/ct_data/abdomen_50.pickle,20,"[3.9925490e-06 4.6898417e-06 2.7053213e-06 ... 1.7075845e-06 5.2173896e-06
 3.4198549e-06]",0.57729572057724,17.894535064697266,80.82560729980469,2025-05-02 11:19:59
data/ct_data/abdomen_50.pickle,21,"[2.8020254e-06 3.8542562e-06 4.5892102e-06 ... 8.7347007e-06 4.4733706e-06
 4.4853000e-06]",0.5709211230278015,17.325828552246094,81.39173889160156,2025-05-02 11:20:34
data/ct_data/abdomen_50.pickle,22,"[3.5964697e-06 4.8362658e-06 6.2535755e-06 ... 4.2985298e-06 6.5252534e-06
 8.2665911e-06]",0.5764032602310181,17.534996032714844,80.96675109863281,2025-05-02 11:20:53
data/ct_data/abdomen_50.pickle,23,"[6.0145048e-06 7.6399101e-06 4.1836493e-06 ... 7.9403826e-06 5.1705506e-06
 4.4163667e-06]",0.5801129341125488,17.346527099609375,80.44253540039062,2025-05-02 11:21:11
data/ct_data/abdomen_50.pickle,24,"[5.0162093e-06 3.6913832e-06 5.5206137e-06 ... 4.5202878e-06 9.4259758e-06
 6.0441644e-06]",0.5912942290306091,17.870529174804688,79.93932342529297,2025-05-02 11:21:30
