dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/abdomen_50.pickle,10,"[1.0486066e-05 7.4959239e-06 1.2722457e-05 ... 3.2608750e-05 1.1679308e-05
 2.2441778e-05]",0.4677,15.8215,84.1826,2025-05-08 12:17:12
data/ct_data/abdomen_50.pickle,20,"[4.4696885e-06 6.5901199e-06 5.6569115e-06 ... 7.4711297e-06 4.9369887e-06
 9.0433750e-06]",0.5291,16.7755,79.3536,2025-05-08 12:18:02
data/ct_data/abdomen_50.pickle,30,"[3.0039580e-06 4.3505729e-06 1.9409385e-06 ... 2.5033921e-06 1.7700711e-06
 1.1259706e-06]",0.5467,16.5896,81.5619,2025-05-08 12:18:51
data/ct_data/abdomen_50.pickle,40,"[1.9718398e-06 2.2199756e-06 2.5784914e-06 ... 1.0783031e-06 2.0755747e-06
 3.9977499e-06]",0.5656,16.6672,81.1653,2025-05-08 12:19:42
data/ct_data/abdomen_50.pickle,50,"[8.1303131e-07 3.5389239e-06 2.3868697e-06 ... 5.1750849e-06 1.8347474e-06
 9.6660767e-07]",0.5957,17.7746,79.1133,2025-05-08 12:20:32
data/ct_data/abdomen_50.pickle,60,"[1.3218587e-06 1.5688191e-06 9.3607269e-07 ... 9.4799594e-07 1.7845584e-06
 2.3399064e-06]",0.6111,18.429,77.7199,2025-05-08 12:21:22
data/ct_data/abdomen_50.pickle,70,"[1.5720248e-06 1.3026797e-06 7.3300697e-07 ... 1.0604596e-06 1.7613653e-06
 1.9137267e-06]",0.6194,18.8376,76.9169,2025-05-08 12:22:11
data/ct_data/abdomen_50.pickle,80,"[1.6662004e-06 2.0652840e-06 1.3426970e-06 ... 1.2913498e-06 2.5775523e-06
 3.1952118e-06]",0.629,19.4306,75.344,2025-05-08 12:23:02
data/ct_data/abdomen_50.pickle,90,"[2.0236403e-06 1.7609041e-06 1.1526441e-06 ... 1.8189827e-06 1.9282334e-06
 8.4662474e-07]",0.6293,19.0737,75.9405,2025-05-08 12:23:51
data/ct_data/abdomen_50.pickle,100,"[3.5089868e-06 1.0600097e-06 7.0282755e-07 ... 2.0005414e-06 1.6328053e-06
 8.6852083e-07]",0.6409,19.3104,75.6765,2025-05-08 12:24:42
data/ct_data/abdomen_50.pickle,110,"[1.0035359e-06 1.4310010e-06 8.2551770e-07 ... 1.3193867e-06 4.4840542e-07
 5.6936710e-07]",0.6521,19.6762,75.1969,2025-05-08 12:25:30
data/ct_data/abdomen_50.pickle,120,"[6.4211650e-07 1.3180830e-06 1.4578967e-06 ... 2.1414535e-06 1.5788554e-06
 1.4128757e-06]",0.653,19.8782,73.5439,2025-05-08 12:26:18
data/ct_data/abdomen_50.pickle,130,"[1.2057908e-06 5.3383866e-07 2.1250937e-06 ... 1.2632617e-06 1.0465415e-06
 1.2210608e-06]",0.6565,20.0556,73.2628,2025-05-08 12:27:10
data/ct_data/abdomen_50.pickle,140,"[7.1751526e-07 9.8852115e-07 2.6279528e-07 ... 7.8012670e-07 1.6969112e-06
 1.0548110e-06]",0.672,20.6306,74.0625,2025-05-08 12:28:03
data/ct_data/abdomen_50.pickle,150,"[3.6801129e-07 6.9792492e-07 7.6788876e-07 ... 9.5456187e-07 1.3240584e-06
 9.8881230e-07]",0.6738,20.6198,74.7851,2025-05-08 12:28:54
data/ct_data/abdomen_50.pickle,160,"[1.9158788e-06 1.0051106e-06 8.7127040e-07 ... 7.3598926e-07 1.1025402e-06
 1.0205482e-06]",0.666,20.7581,71.8911,2025-05-08 12:29:44
data/ct_data/abdomen_50.pickle,170,"[7.5202291e-07 2.2581789e-06 6.3785063e-07 ... 4.5114041e-07 5.9313584e-07
 3.8458853e-07]",0.6778,20.21,76.0676,2025-05-08 12:30:35
data/ct_data/abdomen_50.pickle,180,"[4.1466200e-07 7.9088045e-07 5.7487046e-07 ... 2.0427802e-07 7.9298110e-07
 7.7883482e-07]",0.6877,20.5388,76.1881,2025-05-08 12:31:25
data/ct_data/abdomen_50.pickle,190,"[3.7956409e-07 5.1500683e-07 4.6019053e-07 ... 8.5270563e-07 3.1219525e-07
 4.3666338e-07]",0.6913,20.4566,76.4468,2025-05-08 12:32:16
data/ct_data/abdomen_50.pickle,200,"[3.2910506e-07 6.9219823e-07 4.1805836e-07 ... 8.2322907e-07 4.9891298e-07
 4.0663480e-07]",0.6966,20.7692,76.3976,2025-05-08 12:33:05
data/ct_data/abdomen_50.pickle,210,"[6.5618462e-07 1.0853545e-06 7.1081212e-07 ... 4.3024872e-07 6.6397973e-07
 1.8154687e-06]",0.6933,20.3973,76.0964,2025-05-08 12:33:54
data/ct_data/abdomen_50.pickle,220,"[6.8464607e-07 7.6623343e-07 2.1397591e-06 ... 5.1384899e-07 4.3229986e-07
 5.3384395e-07]",0.702,21.0158,76.248,2025-05-08 12:34:42
data/ct_data/abdomen_50.pickle,230,"[4.3547112e-07 7.7693568e-07 7.1804129e-07 ... 7.7840195e-07 3.4994591e-07
 7.6788399e-07]",0.6966,20.3127,75.9734,2025-05-08 12:35:29
data/ct_data/abdomen_50.pickle,240,"[6.3250627e-07 3.4223055e-07 4.0341064e-07 ... 6.9998100e-07 4.3847962e-07
 6.4048379e-07]",0.7035,20.8989,76.2283,2025-05-08 12:36:17
