dataset,epoch,loss,ssim,psnr,mse,timestamp
./data/ct_data/abdomen_50.pickle,10,"[2.6780240e-06 7.4934173e-06 5.8626283e-06 ... 1.8342747e-06 3.7609905e-06
 6.6268130e-06]",0.6492,16.3133,82.271,2025-05-13 09:22:04
./data/ct_data/abdomen_50.pickle,20,"[1.6260790e-06 1.7826202e-06 2.2622819e-06 ... 1.4887170e-06 1.2206533e-06
 1.5167035e-06]",0.6426,15.6099,80.8269,2025-05-13 09:25:27
./data/ct_data/abdomen_50.pickle,30,"[3.0839356e-06 1.6628815e-06 1.2268713e-06 ... 1.3478219e-06 2.1405715e-06
 2.6129485e-06]",0.6493,15.5734,81.004,2025-05-13 09:28:51
./data/ct_data/abdomen_50.pickle,40,"[1.9004503e-06 1.5365639e-06 5.8007242e-07 ... 4.3640034e-07 1.7653388e-06
 8.9830178e-07]",0.6646,15.2171,78.575,2025-05-13 09:32:14
./data/ct_data/abdomen_50.pickle,50,"[1.1314107e-06 1.7355857e-06 2.2785426e-07 ... 2.9202403e-07 7.6402642e-07
 1.5314490e-07]",0.704,16.8744,83.5628,2025-05-13 09:35:38
./data/ct_data/abdomen_50.pickle,60,"[1.7988733e-06 9.7504426e-07 4.0411652e-07 ... 1.0820190e-06 1.0139561e-06
 7.3712027e-07]",0.7193,17.4736,82.3542,2025-05-13 09:39:01
./data/ct_data/abdomen_50.pickle,70,"[7.8355924e-07 8.1480272e-07 3.6663403e-07 ... 4.3101707e-07 4.2308213e-07
 5.3093703e-07]",0.7346,17.7984,83.3145,2025-05-13 09:42:24
./data/ct_data/abdomen_50.pickle,80,"[1.10730105e-06 5.95029292e-07 1.31840793e-07 ... 1.05220295e-07
 7.35385129e-07 6.00771841e-07]",0.7539,19.1931,76.9365,2025-05-13 09:45:47
./data/ct_data/abdomen_50.pickle,90,"[7.1990212e-07 7.1881254e-07 2.1177840e-07 ... 2.6715026e-07 3.4249581e-07
 3.2314011e-07]",0.7631,20.0527,74.0048,2025-05-13 09:49:10
./data/ct_data/abdomen_50.pickle,100,"[6.2873482e-07 7.0072792e-07 1.0641717e-06 ... 3.7640802e-07 3.0491307e-07
 5.9484177e-07]",0.7726,20.6579,73.7397,2025-05-13 09:52:33
./data/ct_data/abdomen_50.pickle,110,"[4.5530606e-07 2.0025035e-07 5.0259479e-07 ... 2.4561595e-07 2.7742581e-07
 4.9891315e-07]",0.7799,20.4667,73.0926,2025-05-13 09:55:57
./data/ct_data/abdomen_50.pickle,120,"[8.3770857e-07 5.9802801e-07 3.3297255e-07 ... 3.3000816e-07 3.6054044e-07
 3.8336731e-07]",0.7848,20.6503,72.9889,2025-05-13 09:59:19
./data/ct_data/abdomen_50.pickle,130,"[3.7223657e-07 3.6795558e-07 1.0099767e-07 ... 1.7698468e-07 4.4824074e-07
 4.6506349e-07]",0.7811,19.9385,73.7004,2025-05-13 10:02:43
./data/ct_data/abdomen_50.pickle,140,"[8.4462329e-07 4.4353078e-07 7.3353408e-07 ... 2.0871370e-07 2.4942474e-07
 1.2661590e-07]",0.7935,21.0316,72.7666,2025-05-13 10:06:08
./data/ct_data/abdomen_50.pickle,150,"[3.2624641e-07 6.7793133e-07 5.5046280e-07 ... 3.7835125e-07 2.6063290e-07
 6.1153497e-07]",0.8022,21.6908,73.3089,2025-05-13 10:09:30
./data/ct_data/abdomen_50.pickle,160,"[1.0010043e-06 3.6917638e-07 3.5359656e-07 ... 1.7303260e-07 2.0790216e-07
 4.4642260e-07]",0.8071,22.218,74.1936,2025-05-13 10:12:53
./data/ct_data/abdomen_50.pickle,170,"[3.6335342e-07 2.9264251e-07 9.3940088e-08 ... 1.9135088e-07 1.6713227e-07
 1.9982426e-07]",0.8141,22.5019,74.1795,2025-05-13 10:16:16
