dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/abdomen_50.pickle,10,"[4.9733785e-06 8.5889642e-06 4.3117766e-06 ... 1.5014482e-05 7.3595143e-06
 9.2701221e-06]",0.4969,16.1039,84.6034,2025-05-06 04:35:54
data/ct_data/abdomen_50.pickle,20,"[4.5999327e-06 3.1132361e-06 6.2634617e-06 ... 4.9091700e-06 6.7632036e-06
 1.0681612e-05]",0.5464,17.3161,80.0898,2025-05-06 04:41:12
data/ct_data/abdomen_50.pickle,30,"[2.6497314e-06 3.7510902e-06 9.7630164e-07 ... 2.2263350e-06 1.8098149e-06
 1.7647403e-06]",0.6016,18.6426,78.9274,2025-05-06 04:46:28
data/ct_data/abdomen_50.pickle,40,"[2.2184531e-06 1.1090527e-06 1.4251096e-06 ... 1.3435076e-06 2.1259286e-06
 1.8328411e-06]",0.6213,19.3363,77.2708,2025-05-06 04:51:44
data/ct_data/abdomen_50.pickle,50,"[1.5645844e-06 1.6936551e-06 1.5641953e-06 ... 3.1854454e-06 2.0986563e-06
 2.4322626e-06]",0.617,18.1369,78.8411,2025-05-06 04:57:02
data/ct_data/abdomen_50.pickle,60,"[2.1619778e-06 1.2375203e-06 4.2112447e-06 ... 4.5387810e-07 2.5083991e-06
 9.4564365e-07]",0.639,18.8787,76.9023,2025-05-06 05:02:20
data/ct_data/abdomen_50.pickle,70,"[1.9321164e-06 1.6724822e-06 4.0982658e-07 ... 8.7970346e-07 4.7269944e-07
 1.2489666e-06]",0.6447,19.0462,76.723,2025-05-06 05:08:23
data/ct_data/abdomen_50.pickle,80,"[2.7294248e-06 5.7425797e-07 2.1258179e-06 ... 1.1654341e-06 8.7272298e-07
 9.1186740e-07]",0.6408,18.3105,77.9938,2025-05-06 05:14:36
data/ct_data/abdomen_50.pickle,90,"[7.6908128e-07 1.6190143e-06 8.1766672e-07 ... 1.2249598e-06 1.4767644e-06
 5.2143582e-07]",0.6344,-34.46,79.8635,2025-05-06 08:09:40
data/ct_data/abdomen_50.pickle,100,"[1.2059030e-06 5.9238050e-07 8.0005452e-07 ... 1.7101834e-06 7.9540632e-07
 1.3891454e-06]",0.6474,18.147,78.3859,2025-05-06 08:15:09
data/ct_data/abdomen_50.pickle,110,"[1.1574308e-06 1.0995678e-06 1.6492654e-06 ... 8.9209607e-07 1.4578665e-06
 1.0292097e-06]",0.6539,18.5992,77.8658,2025-05-06 08:20:37
data/ct_data/abdomen_50.pickle,120,"[1.6354726e-06 3.2972321e-06 2.0144992e-06 ... 2.0133641e-06 4.6070541e-06
 1.6811995e-06]",0.6445,18.3753,78.2074,2025-05-06 08:25:58
data/ct_data/abdomen_50.pickle,130,"[1.1547589e-06 1.4939203e-06 1.0073112e-06 ... 1.8261779e-06 1.1662308e-06
 2.3045563e-06]",0.6516,18.6817,77.4767,2025-05-06 08:44:24
