dataset,epoch,loss,ssim,psnr,mse,timestamp
./data/ct_data/chest_50.pickle,10,"[8.4002904e-06 5.4317497e-06 4.4746334e-06 ... 4.4956996e-06 4.5128904e-06
 6.6822463e-06]",0.6016,18.955,76.581,2025-05-15 09:38:25
./data/ct_data/chest_50.pickle,20,"[1.0310305e-06 1.7394973e-06 1.3429642e-06 ... 1.2992193e-06 9.1871306e-07
 8.1672448e-07]",0.7289,22.6543,67.7476,2025-05-15 09:39:28
./data/ct_data/chest_50.pickle,30,"[3.9265794e-07 3.5961261e-07 3.3948822e-07 ... 3.0354400e-07 4.6284507e-07
 3.0206448e-07]",0.7906,25.6545,60.1567,2025-05-15 09:40:30
./data/ct_data/chest_50.pickle,40,"[7.1473221e-07 4.6612863e-07 6.9736120e-07 ... 8.5652141e-07 4.2568161e-07
 4.1867369e-07]",0.8087,26.372,54.0467,2025-05-15 09:41:34
./data/ct_data/chest_50.pickle,50,"[5.8847132e-07 4.4437130e-07 7.9655564e-07 ... 7.2031543e-07 1.0140077e-06
 9.0309982e-07]",0.8073,24.9686,56.7635,2025-05-15 09:42:37
./data/ct_data/chest_50.pickle,60,"[4.7909163e-07 1.4740534e-07 2.8930310e-07 ... 3.6094039e-07 4.4658634e-07
 1.4492618e-07]",0.8345,27.7875,48.0496,2025-05-15 09:43:42
./data/ct_data/chest_50.pickle,70,"[1.5073057e-07 2.1622439e-07 1.6344393e-07 ... 1.3588398e-07 1.5637195e-07
 1.3145461e-07]",0.8464,28.6707,40.6365,2025-05-15 09:44:46
./data/ct_data/chest_50.pickle,80,"[6.6350395e-07 4.5433495e-07 5.2477048e-07 ... 8.1292421e-07 4.0403538e-07
 3.4965637e-07]",0.8294,26.6515,48.3276,2025-05-15 09:45:49
./data/ct_data/chest_50.pickle,90,"[1.3828883e-06 9.2795511e-07 1.0667438e-06 ... 8.2264995e-07 1.5167841e-06
 9.4114978e-07]",0.8069,25.0534,55.3064,2025-05-15 09:46:50
./data/ct_data/chest_50.pickle,100,"[2.3245943e-07 1.1787196e-07 2.1711836e-07 ... 2.3406061e-07 9.5836661e-08
 1.2885076e-07]",0.8453,28.6579,42.4148,2025-05-15 09:47:50
./data/ct_data/chest_50.pickle,110,"[1.0260334e-07 7.4817336e-08 1.4147355e-07 ... 2.7115297e-07 2.0465990e-07
 1.3545392e-07]",0.8522,29.2045,37.7936,2025-05-15 09:48:52
./data/ct_data/chest_50.pickle,120,"[5.1619986e-07 6.7685119e-07 3.6709932e-07 ... 3.8255612e-07 4.2596218e-07
 1.3514251e-07]",0.8366,26.8218,47.3725,2025-05-15 09:49:52
./data/ct_data/chest_50.pickle,130,"[1.3863993e-07 3.4135644e-07 1.3685928e-07 ... 2.0053625e-07 2.1158658e-07
 1.1652991e-07]",0.8508,29.2887,38.2426,2025-05-15 09:50:53
./data/ct_data/chest_50.pickle,140,"[1.18909156e-07 9.33153572e-08 2.10502606e-07 ... 1.73916774e-07
 7.26192795e-08 1.58597416e-07]",0.8579,29.704,34.9441,2025-05-15 09:51:54
./data/ct_data/chest_50.pickle,150,"[1.1160334e-07 1.2185643e-07 1.2757943e-07 ... 9.1794412e-08 6.4807615e-08
 1.2239430e-07]",0.8621,29.9998,31.6584,2025-05-15 09:52:55
./data/ct_data/chest_50.pickle,160,"[1.5338264e-07 9.1326491e-08 1.3828772e-07 ... 1.3929088e-07 1.3046295e-07
 1.5900027e-07]",0.8638,30.0774,30.8678,2025-05-15 09:53:56
./data/ct_data/chest_50.pickle,170,"[3.9224622e-07 2.3331860e-07 5.0842829e-07 ... 4.2729619e-07 3.0933933e-07
 2.4190061e-07]",0.8495,28.4048,39.9751,2025-05-15 09:54:56
./data/ct_data/chest_50.pickle,180,"[1.4967988e-07 1.8658675e-07 1.5744757e-07 ... 1.9275326e-07 2.8759001e-07
 1.4126712e-07]",0.8601,29.8068,34.6998,2025-05-15 09:55:57
./data/ct_data/chest_50.pickle,190,"[8.00840212e-08 1.08700057e-07 1.01058028e-07 ... 1.13579866e-07
 9.43718064e-08 2.13987221e-07]",0.8653,30.2265,30.9222,2025-05-15 09:56:58
./data/ct_data/chest_50.pickle,200,"[1.9893483e-07 8.6131749e-08 2.3922993e-07 ... 7.5101106e-08 1.3120659e-07
 1.5544072e-07]",0.8687,30.3005,30.4112,2025-05-15 09:57:59
./data/ct_data/chest_50.pickle,210,"[1.54283086e-07 9.07652904e-08 1.19632773e-07 ... 1.03527839e-07
 1.01449885e-07 9.56129469e-08]",0.8711,30.3538,30.0769,2025-05-15 09:59:02
./data/ct_data/chest_50.pickle,220,"[1.17637597e-07 1.40210531e-07 1.43665289e-07 ... 9.12381921e-08
 1.13325676e-07 1.16748481e-07]",0.8733,30.5391,28.2287,2025-05-15 10:00:04
./data/ct_data/chest_50.pickle,230,"[1.7507175e-07 1.0589158e-07 1.6997383e-07 ... 1.2157957e-07 6.2780920e-08
 1.3865389e-07]",0.8753,30.5007,28.7905,2025-05-15 10:01:05
./data/ct_data/chest_50.pickle,240,"[6.5900267e-08 1.1808578e-07 9.9618212e-08 ... 1.3187952e-07 1.2894600e-07
 1.4499234e-07]",0.8763,30.5822,28.2098,2025-05-15 10:02:07
./data/ct_data/chest_50.pickle,250,"[9.52928829e-08 5.16204892e-08 4.34689795e-08 ... 7.97659254e-08
 1.01679326e-07 5.42482788e-08]",0.8792,30.7321,27.9905,2025-05-15 10:03:08
./data/ct_data/chest_50.pickle,260,"[1.4109968e-07 1.4266121e-07 1.9382558e-07 ... 1.1711731e-07 1.2162808e-07
 1.2344775e-07]",0.8791,30.6396,27.6227,2025-05-15 10:04:10
./data/ct_data/chest_50.pickle,270,"[1.4044431e-07 1.3876134e-07 8.8450179e-08 ... 8.0393583e-08 1.2191040e-07
 6.9239974e-08]",0.8806,30.7678,27.7399,2025-05-15 10:05:11
./data/ct_data/chest_50.pickle,280,"[8.1223043e-08 1.2220866e-07 1.4663928e-07 ... 7.8638216e-08 7.6959466e-08
 5.1274043e-08]",0.8819,30.798,27.8033,2025-05-15 10:06:13
./data/ct_data/chest_50.pickle,290,"[1.48868025e-07 1.15247246e-07 1.30818322e-07 ... 1.61117157e-07
 1.07974778e-07 6.24538714e-08]",0.8829,30.8767,26.9102,2025-05-15 10:07:14
./data/ct_data/chest_50.pickle,300,"[1.3584621e-07 4.9456389e-08 1.4364819e-07 ... 1.0574900e-07 1.5675484e-07
 7.9920092e-08]",0.8843,30.9053,26.8044,2025-05-15 10:08:16
./data/ct_data/chest_50.pickle,310,"[1.20886924e-07 1.22734306e-07 1.14940455e-07 ... 1.76283137e-07
 2.02539383e-07 1.28074703e-07]",0.8849,30.9057,27.0735,2025-05-15 10:09:18
./data/ct_data/chest_50.pickle,320,"[8.0229384e-08 5.9955873e-08 7.4242529e-08 ... 8.8186525e-08 1.6929580e-07
 1.1634821e-07]",0.8866,31.0138,25.9876,2025-05-15 10:10:20
./data/ct_data/chest_50.pickle,330,"[1.2310724e-07 8.7976503e-08 6.5283714e-08 ... 1.0550918e-07 1.0661648e-07
 1.3356045e-07]",0.8874,31.0256,26.4394,2025-05-15 10:11:21
./data/ct_data/chest_50.pickle,340,"[2.7428138e-08 2.0815046e-08 3.1861293e-07 ... 7.3342761e-08 6.4063414e-08
 4.7582944e-08]",0.8886,31.1143,25.7151,2025-05-15 10:12:23
./data/ct_data/chest_50.pickle,350,"[6.32075512e-08 5.43106076e-08 1.66542236e-07 ... 1.07458526e-07
 4.51063578e-08 6.04384240e-08]",0.8893,31.1373,25.2042,2025-05-15 10:13:24
./data/ct_data/chest_50.pickle,360,"[7.5158987e-08 1.7113956e-07 8.0900470e-08 ... 1.3109774e-07 5.7703701e-08
 9.7495402e-08]",0.8906,31.1294,25.5419,2025-05-15 10:14:25
./data/ct_data/chest_50.pickle,370,"[1.1530714e-07 8.6280522e-08 1.1449577e-07 ... 1.5880583e-07 1.8067651e-07
 8.2198838e-08]",0.8908,31.159,25.5211,2025-05-15 10:15:26
./data/ct_data/chest_50.pickle,380,"[1.24069516e-07 1.14691183e-07 1.09555984e-07 ... 1.62597658e-07
 9.29318205e-08 1.00074260e-07]",0.8906,31.0974,25.5467,2025-05-15 10:16:27
./data/ct_data/chest_50.pickle,390,"[1.1016774e-07 5.3489345e-08 1.0956133e-07 ... 1.0526671e-07 1.7467273e-07
 9.2392405e-08]",0.8877,30.7652,27.4874,2025-05-15 10:17:28
./data/ct_data/chest_50.pickle,400,"[7.91847441e-08 9.00691219e-08 1.51252678e-07 ... 1.57722283e-07
 1.10403704e-07 1.84620163e-07]",0.8872,30.6889,28.2767,2025-05-15 10:18:30
./data/ct_data/chest_50.pickle,410,"[1.2938422e-07 1.6775601e-07 1.4746388e-07 ... 1.4230579e-07 1.2409075e-07
 1.4040687e-07]",0.8832,30.1281,32.0127,2025-05-15 10:19:31
./data/ct_data/chest_50.pickle,420,"[7.65242234e-08 1.29111086e-07 1.75774147e-07 ... 1.08121434e-07
 1.10009438e-07 9.41528384e-08]",0.8889,31.2094,25.494,2025-05-15 10:20:34
./data/ct_data/chest_50.pickle,430,"[6.9400443e-08 1.0566126e-07 6.2623151e-08 ... 4.0407407e-08 6.7086461e-08
 1.3899869e-07]",0.8906,31.2039,25.8161,2025-05-15 10:21:35
./data/ct_data/chest_50.pickle,440,"[4.8654421e-08 7.0887495e-08 1.3480815e-07 ... 3.6342399e-08 6.4824235e-08
 1.0215096e-07]",0.8911,31.2649,25.0332,2025-05-15 10:22:36
./data/ct_data/chest_50.pickle,450,"[8.71731558e-08 6.37496740e-08 6.55622259e-08 ... 8.19744770e-08
 1.12895705e-07 9.44979064e-08]",0.8916,31.2376,25.4903,2025-05-15 10:23:37
./data/ct_data/chest_50.pickle,460,"[1.9232058e-07 8.1904275e-08 5.0549271e-08 ... 1.1843495e-07 8.0167901e-08
 1.6804894e-07]",0.8925,31.3348,24.6659,2025-05-15 10:24:38
./data/ct_data/chest_50.pickle,470,"[9.3581519e-08 1.6390217e-07 8.2258076e-08 ... 1.0825490e-07 9.7354942e-08
 1.1153754e-07]",0.8931,31.2959,24.6779,2025-05-15 10:25:39
./data/ct_data/chest_50.pickle,480,"[1.4339781e-07 1.4382066e-07 9.0173373e-08 ... 1.6227575e-07 9.7326854e-08
 8.0214996e-08]",0.8933,31.3217,24.577,2025-05-15 10:26:40
./data/ct_data/chest_50.pickle,490,"[5.45561072e-08 7.20289890e-08 1.69252019e-07 ... 6.67813964e-08
 1.02673674e-07 6.21651566e-08]",0.8947,31.3745,24.5246,2025-05-15 10:27:41
./data/ct_data/chest_50.pickle,500,"[6.3642290e-08 7.9655358e-08 4.4527237e-08 ... 1.0455000e-07 2.0341361e-07
 9.1316551e-08]",0.8947,31.3399,24.4211,2025-05-15 10:28:43
./data/ct_data/chest_50.pickle,510,"[4.1708887e-08 6.4975715e-08 8.6286740e-08 ... 1.4738863e-07 7.9516383e-08
 1.5248807e-07]",0.895,31.3464,24.5737,2025-05-15 10:29:44
./data/ct_data/chest_50.pickle,520,"[1.8688941e-07 2.0049667e-07 1.1456645e-07 ... 1.2485033e-07 8.5253184e-08
 5.1367184e-08]",0.8956,31.3488,24.5563,2025-05-15 10:30:46
./data/ct_data/chest_50.pickle,530,"[5.7273141e-08 1.3304587e-07 4.6986173e-08 ... 8.3930075e-08 9.1350309e-08
 9.6224284e-08]",0.8956,31.3351,24.2716,2025-05-15 10:31:47
./data/ct_data/chest_50.pickle,540,"[5.5315208e-08 7.8535940e-08 8.0587178e-08 ... 2.2943682e-07 9.7264376e-08
 9.3533316e-08]",0.8956,31.3076,24.4159,2025-05-15 10:32:48
./data/ct_data/chest_50.pickle,550,"[5.7257797e-08 1.3825679e-07 1.1313446e-07 ... 6.8100974e-08 6.9042379e-08
 9.5067719e-08]",0.8961,31.3715,24.2421,2025-05-15 10:33:50
./data/ct_data/chest_50.pickle,560,"[6.6936174e-08 6.5967733e-08 4.5170985e-08 ... 1.3654557e-07 2.0215657e-07
 8.0152446e-08]",0.8962,31.3588,24.2514,2025-05-15 10:34:51
./data/ct_data/chest_50.pickle,570,"[1.4788873e-07 6.8901713e-08 4.8652936e-08 ... 1.8839320e-07 9.9973668e-08
 1.0852195e-07]",0.8963,31.3524,24.6312,2025-05-15 10:35:52
./data/ct_data/chest_50.pickle,580,"[6.6968241e-08 7.0232176e-08 7.1213847e-08 ... 5.9111702e-08 9.1617196e-08
 8.3367141e-08]",0.8967,31.3744,24.4709,2025-05-15 10:36:52
./data/ct_data/chest_50.pickle,590,"[1.0214009e-07 7.1020082e-08 7.8746098e-08 ... 8.5544464e-08 9.1821313e-08
 8.1919659e-08]",0.8968,31.3847,24.1351,2025-05-15 10:37:56
./data/ct_data/chest_50.pickle,600,"[9.0353190e-08 6.6809477e-08 1.0086391e-07 ... 7.0250806e-08 1.2879337e-07
 9.5915581e-08]",0.8972,31.3874,24.3101,2025-05-15 10:38:57
./data/ct_data/chest_50.pickle,610,"[8.8685020e-08 1.2931970e-07 7.8470890e-08 ... 4.6266162e-08 9.2759507e-08
 5.2280484e-08]",0.8974,31.4084,24.1081,2025-05-15 10:39:59
./data/ct_data/chest_50.pickle,620,"[8.45840376e-08 1.03786391e-07 7.05739254e-08 ... 1.31781974e-07
 1.18680816e-07 5.32890532e-08]",0.8975,31.4151,23.9571,2025-05-15 10:41:00
./data/ct_data/chest_50.pickle,630,"[1.3121269e-07 3.2703888e-08 1.0438273e-07 ... 6.0441650e-08 1.0519664e-07
 7.1770764e-08]",0.8979,31.4377,23.8986,2025-05-15 10:42:01
./data/ct_data/chest_50.pickle,640,"[4.7677673e-08 1.3463513e-07 7.9930622e-08 ... 4.6383608e-08 6.7038087e-08
 7.4231110e-08]",0.8976,31.3748,24.2527,2025-05-15 10:43:02
./data/ct_data/chest_50.pickle,650,"[4.4763024e-08 6.7239732e-08 5.9248688e-08 ... 7.8607854e-08 7.9520497e-08
 1.3336488e-07]",0.8986,31.4373,24.11,2025-05-15 10:44:03
./data/ct_data/chest_50.pickle,660,"[1.2026581e-07 9.4918050e-08 1.0765290e-07 ... 4.3440828e-08 5.4071812e-08
 7.1148172e-08]",0.8981,31.3888,24.2683,2025-05-15 10:45:04
./data/ct_data/chest_50.pickle,670,"[7.8267178e-08 4.2002068e-08 1.3538899e-07 ... 9.4229932e-08 6.9574106e-08
 1.0217249e-07]",0.8983,31.4304,23.9403,2025-05-15 10:46:05
./data/ct_data/chest_50.pickle,680,"[8.4905160e-08 6.2696948e-08 7.1825447e-08 ... 7.7626140e-08 1.0016252e-07
 7.1157800e-08]",0.8981,31.393,24.2801,2025-05-15 10:47:06
./data/ct_data/chest_50.pickle,690,"[1.3306604e-07 5.4748735e-08 8.5545388e-08 ... 1.3757925e-07 1.4474338e-07
 5.4066938e-08]",0.8986,31.4324,23.6569,2025-05-15 10:48:07
./data/ct_data/chest_50.pickle,700,"[9.1958199e-08 8.3182265e-08 6.4767320e-08 ... 6.6785447e-08 1.1262293e-07
 5.4583683e-08]",0.8989,31.4302,23.9651,2025-05-15 10:49:08
./data/ct_data/chest_50.pickle,710,"[1.72582290e-07 6.50240537e-08 5.43214718e-08 ... 4.55358560e-08
 1.14908524e-07 5.13822762e-08]",0.8989,31.4335,23.9048,2025-05-15 10:50:09
./data/ct_data/chest_50.pickle,720,"[1.1906566e-07 3.1715382e-07 6.3837128e-08 ... 6.2720538e-08 5.4413313e-08
 8.2648185e-08]",0.8985,31.4274,23.7473,2025-05-15 10:51:10
./data/ct_data/chest_50.pickle,730,"[1.6035260e-07 6.1404165e-08 5.6164005e-08 ... 1.1085177e-07 2.7578515e-08
 1.5605070e-07]",0.8986,31.4126,23.8635,2025-05-15 10:52:11
./data/ct_data/chest_50.pickle,740,"[6.8355710e-08 6.8074613e-08 1.6428179e-07 ... 6.0992143e-08 8.4304105e-08
 1.4487250e-07]",0.8981,31.3483,24.0062,2025-05-15 10:53:12
./data/ct_data/chest_50.pickle,750,"[6.0176006e-08 8.0333578e-08 9.8110291e-08 ... 1.2340996e-07 6.0717731e-08
 3.2156503e-08]",0.8987,31.4213,23.5664,2025-05-15 10:54:13
./data/ct_data/chest_50.pickle,760,"[1.24758785e-07 1.20618409e-07 1.11398236e-07 ... 9.24863812e-08
 7.84932510e-08 7.45753610e-08]",0.8985,31.3317,23.8928,2025-05-15 10:55:14
./data/ct_data/chest_50.pickle,770,"[1.1067182e-07 1.0351908e-07 1.3212731e-07 ... 9.0685397e-08 1.4245829e-07
 6.7370927e-08]",0.8991,31.4023,23.9139,2025-05-15 10:56:16
./data/ct_data/chest_50.pickle,780,"[5.7541715e-08 1.1637651e-07 6.8478144e-08 ... 8.7242825e-08 2.7190310e-08
 6.7845811e-08]",0.8995,31.4322,23.9884,2025-05-15 10:57:17
