dataset,epoch,loss,ssim,psnr,mse,timestamp
./data/ct_data/chest_50.pickle,10,"[6.0186790e-06 2.2545041e-06 1.6534718e-06 ... 1.6897353e-06 4.3687987e-06
 3.9501929e-06]",0.577,20.9645,67.7542,2025-05-13 15:14:59
./data/ct_data/chest_50.pickle,20,"[2.3953758e-06 8.7824543e-07 1.1880533e-06 ... 1.0966868e-06 9.3530724e-07
 1.1567349e-06]",0.6731,23.758,54.1245,2025-05-13 15:15:53
./data/ct_data/chest_50.pickle,30,"[6.2671660e-07 3.7033169e-07 7.9247707e-07 ... 3.9739064e-07 5.3461611e-07
 3.5798533e-07]",0.7414,25.5125,42.1578,2025-05-13 15:16:47
./data/ct_data/chest_50.pickle,40,"[6.2986589e-07 3.7395799e-07 5.2124511e-07 ... 4.1041835e-07 4.1306572e-07
 4.4647038e-07]",0.7681,26.0635,40.0678,2025-05-13 15:17:42
./data/ct_data/chest_50.pickle,50,"[5.6994196e-07 4.1184157e-07 6.2386954e-07 ... 7.9168973e-07 4.2805084e-07
 5.7201129e-07]",0.7791,26.1848,40.4007,2025-05-13 15:18:37
./data/ct_data/chest_50.pickle,60,"[2.6503130e-07 2.8724048e-07 3.4695609e-07 ... 5.5854116e-07 2.7092622e-07
 2.5279178e-07]",0.7995,27.1334,33.5845,2025-05-13 15:19:31
./data/ct_data/chest_50.pickle,70,"[1.8439724e-07 2.4742295e-07 1.0901420e-07 ... 2.1866850e-07 3.0516486e-07
 4.5644799e-07]",0.8087,27.3773,33.612,2025-05-13 15:20:25
./data/ct_data/chest_50.pickle,80,"[2.1606822e-07 3.1321568e-07 1.5316662e-07 ... 2.9528795e-07 2.3937247e-07
 3.1500119e-07]",0.8117,27.3631,35.2276,2025-05-13 15:21:19
./data/ct_data/chest_50.pickle,90,"[3.5380711e-07 1.0925471e-06 2.1473164e-07 ... 2.6457730e-07 1.4923084e-07
 3.7366445e-07]",0.8202,27.6996,33.6747,2025-05-13 15:22:14
./data/ct_data/chest_50.pickle,100,"[4.5766279e-07 1.2995820e-07 2.6901517e-07 ... 2.6247056e-07 3.0337239e-07
 1.9747988e-07]",0.8238,27.8759,31.9498,2025-05-13 15:23:08
./data/ct_data/chest_50.pickle,110,"[4.2264989e-07 2.8395959e-07 3.5487403e-07 ... 2.9415244e-07 3.2633434e-07
 3.4506425e-07]",0.8295,28.0859,32.0141,2025-05-13 15:24:03
./data/ct_data/chest_50.pickle,120,"[3.9564577e-07 2.2242207e-07 1.6213939e-07 ... 1.2238496e-07 2.8819147e-07
 1.8641725e-07]",0.8363,28.2709,31.562,2025-05-13 15:24:57
./data/ct_data/chest_50.pickle,130,"[3.4494784e-07 1.8581959e-07 1.5688229e-07 ... 3.2862761e-07 1.5294327e-07
 2.3273104e-07]",0.8404,28.4937,30.3583,2025-05-13 15:25:51
./data/ct_data/chest_50.pickle,140,"[3.2892575e-07 3.3503667e-07 1.8582803e-07 ... 1.7312169e-07 3.0423567e-07
 1.8033934e-07]",0.8458,28.5608,29.251,2025-05-13 15:26:46
