dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/chest_50.pickle,10,"[2.3616203e-06 5.1092670e-06 2.0245448e-06 ... 3.2145597e-06 5.2188216e-06
 2.7708891e-06]",0.5187,15.9495,77.0485,2025-05-06 00:46:52
data/ct_data/chest_50.pickle,20,"[5.1936587e-07 5.4240377e-07 7.1544054e-07 ... 7.2855471e-07 1.1140989e-06
 3.8523049e-07]",0.6412,20.4718,72.3397,2025-05-06 00:51:36
data/ct_data/chest_50.pickle,30,"[3.7949684e-07 9.4499029e-07 6.1142504e-07 ... 7.8612516e-07 1.2085068e-06
 8.7867556e-07]",0.6834,21.8084,69.4451,2025-05-06 00:56:10
data/ct_data/chest_50.pickle,40,"[4.6641225e-07 5.4182476e-07 4.7301094e-07 ... 5.4877341e-07 3.1520077e-07
 4.4970872e-07]",0.7152,23.1763,65.6324,2025-05-06 01:00:43
data/ct_data/chest_50.pickle,50,"[3.9858804e-07 5.1969062e-07 3.8962582e-07 ... 3.9340691e-07 3.3146017e-07
 3.6733465e-07]",0.7422,24.1415,61.894,2025-05-06 01:05:16
data/ct_data/chest_50.pickle,60,"[2.6557825e-07 3.7087713e-07 2.8655262e-07 ... 3.5294460e-07 4.2867600e-07
 3.8700287e-07]",0.7559,24.604,59.9508,2025-05-06 01:09:50
data/ct_data/chest_50.pickle,70,"[9.4279903e-07 5.7297120e-07 6.7416926e-07 ... 6.8684494e-07 4.8165293e-07
 6.7052008e-07]",0.7505,24.368,60.1202,2025-05-06 01:14:23
data/ct_data/chest_50.pickle,80,"[7.4261044e-07 5.3625439e-07 3.1886026e-07 ... 2.2819592e-07 4.6057457e-07
 4.8424283e-07]",0.7637,25.1041,54.546,2025-05-06 01:18:57
data/ct_data/chest_50.pickle,90,"[3.4171123e-07 3.3443976e-07 5.0852469e-07 ... 4.9030621e-07 3.2312792e-07
 6.7772498e-07]",0.7747,25.5576,52.8098,2025-05-06 01:23:31
data/ct_data/chest_50.pickle,100,"[2.5989260e-07 2.2138114e-07 3.2301878e-07 ... 5.5359737e-07 4.9093978e-07
 3.1103025e-07]",0.7823,26.0522,49.0681,2025-05-06 01:28:04
data/ct_data/chest_50.pickle,110,"[3.3123720e-07 5.7402451e-07 4.5088282e-07 ... 1.8315080e-07 3.0623175e-07
 2.2271536e-07]",0.7887,26.1126,50.0913,2025-05-06 01:32:37
data/ct_data/chest_50.pickle,120,"[3.3983895e-07 4.9705318e-07 6.0904176e-07 ... 5.8288936e-07 3.7695318e-07
 1.7850752e-07]",0.7942,26.0972,49.4625,2025-05-06 01:37:11
data/ct_data/chest_50.pickle,130,"[2.9674646e-07 3.7137227e-07 2.4911805e-07 ... 4.0380880e-07 2.0645970e-07
 5.6138839e-07]",0.7988,26.526,47.9136,2025-05-06 01:41:44
data/ct_data/chest_50.pickle,140,"[1.4261333e-07 2.4836919e-07 3.4272895e-07 ... 2.6074918e-07 2.6198720e-07
 1.7979646e-07]",0.809,26.8923,46.9624,2025-05-06 01:46:18
data/ct_data/chest_50.pickle,150,"[2.9505359e-06 1.4727674e-07 1.3448869e-07 ... 8.1918976e-08 1.7486681e-07
 4.8417644e-07]",0.818,27.6745,38.4702,2025-05-06 01:50:52
data/ct_data/chest_50.pickle,160,"[2.4454400e-07 1.0251343e-07 1.0713692e-07 ... 3.5452885e-07 1.7071379e-07
 1.1919149e-07]",0.8233,27.8033,38.2571,2025-05-06 01:55:25
data/ct_data/chest_50.pickle,170,"[1.5535976e-07 2.5169516e-07 2.0225433e-07 ... 4.3447483e-07 2.8254715e-07
 1.9987816e-07]",0.8269,27.8924,37.9892,2025-05-06 01:59:58
data/ct_data/chest_50.pickle,180,"[1.8026391e-07 1.8691819e-07 2.4856473e-07 ... 1.5355346e-07 2.3468168e-07
 1.9317055e-07]",0.8299,28.0747,35.9745,2025-05-06 02:04:32
data/ct_data/chest_50.pickle,190,"[2.0011734e-07 8.1172132e-08 1.7218554e-07 ... 1.4336192e-07 1.6760026e-07
 8.4741139e-08]",0.8331,28.1779,35.9596,2025-05-06 02:09:05
data/ct_data/chest_50.pickle,200,"[2.2199089e-07 1.5631757e-07 1.6207055e-07 ... 1.7924476e-07 2.2705930e-07
 1.5282772e-07]",0.8371,28.3019,34.9533,2025-05-06 02:13:39
data/ct_data/chest_50.pickle,210,"[1.8819740e-07 7.0073149e-08 2.0807960e-07 ... 9.0806552e-08 1.1388411e-07
 1.6198814e-07]",0.8399,28.4468,33.2809,2025-05-06 02:18:13
data/ct_data/chest_50.pickle,220,"[3.2875374e-07 1.8714924e-07 1.0710296e-07 ... 6.7110662e-08 1.8770992e-07
 4.5576829e-07]",0.8414,28.3956,34.9381,2025-05-06 02:22:46
data/ct_data/chest_50.pickle,230,"[1.4969851e-07 1.4413213e-07 2.0434376e-07 ... 2.1537960e-07 1.3896779e-07
 2.1240909e-07]",0.845,28.5948,33.2843,2025-05-06 02:27:20
data/ct_data/chest_50.pickle,240,"[1.7307119e-07 6.3829937e-08 1.4830215e-07 ... 1.7042484e-07 2.7088254e-07
 2.2643944e-07]",0.8463,28.572,33.5728,2025-05-06 02:31:53
data/ct_data/chest_50.pickle,250,"[2.1171391e-07 2.0403024e-07 1.4172356e-07 ... 1.7495742e-07 1.8412454e-07
 1.4696198e-07]",0.8472,28.6291,33.7587,2025-05-06 02:36:27
data/ct_data/chest_50.pickle,260,"[8.6770399e-08 1.6648322e-07 1.3012449e-07 ... 1.4842298e-07 2.8812696e-07
 1.8906692e-07]",0.8494,28.752,32.4617,2025-05-06 02:41:01
data/ct_data/chest_50.pickle,270,"[1.05490365e-07 1.43829297e-07 1.10284425e-07 ... 1.52134831e-07
 7.31699572e-08 1.68831107e-07]",0.8504,28.7691,32.6923,2025-05-06 02:45:35
data/ct_data/chest_50.pickle,280,"[1.45488769e-07 1.28475136e-07 1.12643235e-07 ... 2.25112871e-07
 5.75688226e-08 9.52378798e-08]",0.8519,28.7921,32.981,2025-05-06 02:50:09
data/ct_data/chest_50.pickle,290,"[2.1554507e-07 1.8989437e-07 1.8693525e-07 ... 1.3903255e-07 9.2741899e-08
 1.3377354e-07]",0.8531,28.8597,31.9991,2025-05-06 02:54:43
data/ct_data/chest_50.pickle,300,"[1.8450388e-07 9.1429449e-08 9.3779434e-08 ... 1.7096558e-07 1.6931685e-07
 1.3015055e-07]",0.8539,28.9072,31.8457,2025-05-06 02:59:17
data/ct_data/chest_50.pickle,310,"[1.1644903e-07 1.3833024e-07 1.6662068e-07 ... 6.7932277e-08 1.4278710e-07
 1.2151899e-07]",0.8547,28.9595,31.2437,2025-05-06 03:03:50
data/ct_data/chest_50.pickle,320,"[1.5545618e-07 1.4357506e-07 7.9172743e-08 ... 1.2704652e-07 2.0647609e-07
 1.1044998e-07]",0.8559,28.965,31.9405,2025-05-06 03:08:24
data/ct_data/chest_50.pickle,330,"[2.0360392e-07 2.1496197e-07 1.3583681e-07 ... 2.4018846e-07 1.8794734e-07
 7.3788641e-08]",0.8564,28.9955,31.6786,2025-05-06 03:12:59
data/ct_data/chest_50.pickle,340,"[1.3118456e-07 1.8560389e-07 8.6394813e-08 ... 1.5582938e-07 1.7614335e-07
 2.0476908e-07]",0.8574,28.991,31.9294,2025-05-06 03:17:33
data/ct_data/chest_50.pickle,350,"[9.8297299e-08 1.6723283e-07 1.5484304e-07 ... 9.7007593e-08 1.1823401e-07
 3.2255710e-07]",0.8577,28.9846,32.331,2025-05-06 03:22:06
data/ct_data/chest_50.pickle,360,"[1.5429337e-07 1.5980775e-07 3.0718283e-07 ... 1.1948606e-07 1.6150747e-07
 1.6711408e-07]",0.8588,29.0199,31.1457,2025-05-06 03:26:40
