dataset,epoch,loss,ssim,psnr,mse,timestamp
dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/foot_50.pickle,0,[0.0036167  0.00345037 0.0033312  ... 0.00333302 0.00355518 0.0035953 ],0.04898154363036156,8.651159286499023,117.85211944580078,2025-05-02 10:39:59
data/ct_data/foot_50.pickle,1,[0.00027846 0.00037769 0.00038153 ... 0.00021481 0.00024842 0.00023844],0.04865061864256859,8.6542387008667,117.45462036132812,2025-05-02 10:40:06
data/ct_data/foot_50.pickle,2,[0.00030681 0.00032352 0.00012605 ... 0.00011553 0.00015399 0.00019641],0.04742707684636116,8.49694538116455,116.56282806396484,2025-05-02 10:40:14
data/ct_data/foot_50.pickle,3,[0.0002053  0.00017579 0.00019305 ... 0.00020843 0.00020241 0.0003187 ],0.045573458075523376,8.231670379638672,115.35706329345703,2025-05-02 10:40:21
data/ct_data/foot_50.pickle,4,[0.00020422 0.00016239 0.00010076 ... 0.00031835 0.00021641 0.00015639],0.04300897568464279,7.809131145477295,114.92243957519531,2025-05-02 10:40:29
data/ct_data/foot_50.pickle,5,[0.00031554 0.00022476 0.00022929 ... 0.00022582 0.00024646 0.00025337],0.042499735951423645,7.867373466491699,107.00996398925781,2025-05-02 10:40:36
data/ct_data/foot_50.pickle,6,"[2.9178199e-04 1.5429627e-04 9.6064134e-05 ... 1.9289866e-04 1.5256938e-04
 2.0070208e-04]",0.0588495172560215,11.438488960266113,113.04669189453125,2025-05-02 10:40:44
data/ct_data/foot_50.pickle,7,"[6.6664164e-05 2.2912078e-04 2.0478586e-04 ... 1.9151419e-04 1.1254987e-04
 8.9463058e-05]",0.1449955701828003,16.00223731994629,80.93424224853516,2025-05-02 10:40:51
data/ct_data/foot_50.pickle,8,"[9.7718766e-05 9.1550006e-05 6.4362481e-05 ... 1.3082880e-04 8.6770029e-05
 8.3068488e-05]",0.3033428192138672,17.70281982421875,55.53608703613281,2025-05-02 10:40:59
data/ct_data/foot_50.pickle,9,"[3.6788140e-05 3.1989595e-05 2.0641084e-05 ... 1.7755285e-05 2.2958884e-05
 1.9435902e-05]",0.3530198633670807,18.448223114013672,49.008792877197266,2025-05-02 10:41:06
