dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/foot_50.pickle,10,"[2.6353831e-05 1.8756518e-05 6.7204396e-06 ... 3.3197586e-05 2.0228370e-05
 2.9499819e-05]",0.5421,20.8776,37.8881,2025-05-09 09:54:43
data/ct_data/foot_50.pickle,20,"[4.5573493e-06 5.5118380e-06 6.3108146e-06 ... 5.9648055e-06 5.1975862e-06
 2.3236942e-06]",0.6844,23.8419,28.9776,2025-05-09 09:55:18
data/ct_data/foot_50.pickle,30,"[7.4633027e-07 6.3327053e-07 1.9955571e-06 ... 4.5756406e-07 9.3665255e-07
 3.2088099e-06]",0.7427,25.4005,26.2092,2025-05-09 09:55:53
data/ct_data/foot_50.pickle,40,"[2.0664013e-06 8.9067981e-07 1.3755256e-06 ... 8.3308959e-07 1.1961612e-06
 4.7395443e-07]",0.7626,25.9227,25.7273,2025-05-09 09:56:28
data/ct_data/foot_50.pickle,50,"[7.1282972e-07 1.8486659e-06 1.4096695e-06 ... 1.2999682e-06 1.1846416e-06
 6.3411755e-07]",0.7658,26.4925,25.2368,2025-05-09 09:57:03
data/ct_data/foot_50.pickle,60,"[5.2288038e-07 8.4143829e-07 9.1667511e-07 ... 5.3047529e-07 1.0913354e-06
 4.6997721e-07]",0.7881,27.1523,24.0737,2025-05-09 09:57:38
data/ct_data/foot_50.pickle,70,"[1.7572167e-07 8.8451770e-07 5.2762880e-07 ... 8.0848787e-07 2.0786720e-07
 3.0422095e-07]",0.7968,27.5029,23.7004,2025-05-09 09:58:13
data/ct_data/foot_50.pickle,80,"[6.3357612e-07 1.0954719e-06 3.7593293e-07 ... 6.0451043e-07 1.1327921e-06
 6.5605332e-07]",0.8029,27.7671,23.4063,2025-05-09 09:58:48
data/ct_data/foot_50.pickle,90,"[4.0030707e-07 2.6145284e-07 3.9538193e-07 ... 4.0007941e-07 7.3061557e-07
 5.7830891e-07]",0.8052,27.8676,23.4098,2025-05-09 09:59:22
data/ct_data/foot_50.pickle,100,"[9.2435579e-07 3.0976489e-07 7.5630692e-07 ... 7.9242869e-07 6.0858275e-07
 1.0295905e-07]",0.8103,28.0607,23.0524,2025-05-09 09:59:57
data/ct_data/foot_50.pickle,110,"[1.0831919e-06 5.3815359e-07 4.4219058e-07 ... 1.3320027e-06 4.2503950e-07
 1.9569896e-07]",0.8143,28.201,22.7951,2025-05-09 10:00:32
data/ct_data/foot_50.pickle,120,"[8.2648700e-07 1.1533687e-06 4.3828811e-07 ... 8.5672872e-07 7.0777344e-07
 3.0146867e-07]",0.817,28.3214,22.6553,2025-05-09 10:01:07
data/ct_data/foot_50.pickle,130,"[1.55701798e-06 9.11770599e-07 7.79942695e-07 ... 1.15907056e-07
 5.33278012e-07 1.43776731e-07]",0.8183,28.3705,22.6079,2025-05-09 10:01:41
data/ct_data/foot_50.pickle,140,"[5.8287571e-07 6.8533502e-08 4.7922475e-07 ... 6.5025466e-07 7.0736581e-07
 4.5379926e-07]",0.8201,28.4512,22.4991,2025-05-09 10:02:15
data/ct_data/foot_50.pickle,150,"[5.1546158e-07 4.8797108e-07 6.4260524e-07 ... 5.5123871e-07 1.1430684e-06
 8.8953578e-07]",0.8219,28.4887,22.4361,2025-05-09 10:02:48
data/ct_data/foot_50.pickle,160,"[4.2811246e-07 3.8358979e-07 9.5074807e-07 ... 5.3583636e-07 3.4957756e-07
 5.1036955e-07]",0.8241,28.6023,22.1825,2025-05-09 10:03:24
data/ct_data/foot_50.pickle,170,"[7.0549004e-07 1.5437399e-07 5.8988377e-07 ... 5.5300734e-07 3.5175850e-07
 5.2349623e-07]",0.8246,28.6211,22.2313,2025-05-09 10:03:57
data/ct_data/foot_50.pickle,180,"[6.9785460e-07 6.5690784e-07 1.4923597e-06 ... 5.8485170e-07 6.8422412e-07
 4.3151005e-07]",0.8271,28.7081,21.9816,2025-05-09 10:04:32
data/ct_data/foot_50.pickle,190,"[4.2540819e-07 1.0108125e-06 5.4032637e-07 ... 2.4946863e-07 2.6719641e-07
 8.6378788e-07]",0.8285,28.7858,21.8462,2025-05-09 10:05:06
data/ct_data/foot_50.pickle,200,"[9.0730509e-07 4.1469175e-07 4.4965384e-07 ... 2.0883095e-07 2.1556214e-07
 3.7688929e-07]",0.8296,28.8061,21.7878,2025-05-09 10:05:40
data/ct_data/foot_50.pickle,210,"[4.7535985e-07 5.1452656e-07 4.7721187e-07 ... 7.2805489e-07 4.5481661e-07
 5.1640194e-07]",0.8302,28.8299,21.7112,2025-05-09 10:06:15
data/ct_data/foot_50.pickle,220,"[6.0264296e-07 8.4352439e-07 5.6513022e-07 ... 3.4468377e-07 9.3264083e-07
 4.7735392e-07]",0.8304,28.8558,21.7308,2025-05-09 10:06:49
data/ct_data/foot_50.pickle,230,"[2.9106400e-07 2.3230723e-07 1.9893650e-07 ... 8.7633288e-07 1.1739472e-06
 5.7162231e-07]",0.8316,28.8703,21.6911,2025-05-09 10:07:25
data/ct_data/foot_50.pickle,240,"[4.8968667e-07 3.9687998e-07 7.1136020e-07 ... 5.2682122e-07 5.0069417e-07
 2.7484302e-07]",0.8318,28.867,21.6911,2025-05-09 10:08:00
data/ct_data/foot_50.pickle,250,"[1.1584285e-06 4.5461630e-07 3.5482003e-07 ... 9.5612688e-07 3.0497227e-07
 1.5523300e-07]",0.833,28.9429,21.5657,2025-05-09 10:08:36
data/ct_data/foot_50.pickle,260,"[3.4487388e-07 7.0318907e-07 5.2173567e-07 ... 6.3904031e-07 4.3257768e-07
 5.7025659e-07]",0.8326,28.9459,21.6112,2025-05-09 10:09:11
data/ct_data/foot_50.pickle,270,"[5.1497773e-07 4.6636285e-07 2.6721906e-07 ... 2.0788160e-07 3.5681370e-07
 2.8695959e-07]",0.8346,29.0241,21.4804,2025-05-09 10:09:45
data/ct_data/foot_50.pickle,280,"[7.9937206e-07 3.0192629e-07 5.6240901e-07 ... 7.0118199e-07 7.8779232e-07
 2.5093948e-07]",0.835,29.0218,21.4631,2025-05-09 10:10:20
data/ct_data/foot_50.pickle,290,"[2.1438696e-07 1.9180170e-07 6.4601642e-07 ... 6.6722453e-07 5.2520141e-07
 6.0105883e-08]",0.8354,29.0471,21.3964,2025-05-09 10:10:54
data/ct_data/foot_50.pickle,300,"[3.8155071e-07 7.6732363e-07 4.9442298e-07 ... 2.5197096e-07 7.8459891e-07
 7.1466957e-07]",0.8362,29.057,21.395,2025-05-09 10:11:29
data/ct_data/foot_50.pickle,310,"[3.4041818e-07 1.2314680e-07 4.8476880e-07 ... 3.1125381e-07 2.4966010e-07
 1.2227970e-06]",0.8364,29.1001,21.3459,2025-05-09 10:12:05
data/ct_data/foot_50.pickle,320,"[8.1957279e-07 1.4742710e-07 7.0037643e-08 ... 4.4826626e-07 4.1889788e-07
 8.1105134e-07]",0.8359,29.0329,21.4679,2025-05-09 10:12:42
data/ct_data/foot_50.pickle,330,"[2.3886108e-07 4.7642027e-07 3.9116935e-07 ... 7.1624959e-07 1.6831817e-07
 6.0909969e-07]",0.8376,29.0857,21.3155,2025-05-09 10:13:19
data/ct_data/foot_50.pickle,340,"[2.2750829e-07 7.8842061e-07 5.0664806e-07 ... 1.8906989e-07 2.1634473e-07
 7.5984576e-07]",0.8364,29.0412,21.3779,2025-05-09 10:13:53
data/ct_data/foot_50.pickle,350,"[4.1840639e-07 5.5153356e-07 4.7717958e-07 ... 3.0414733e-07 5.5180442e-07
 3.3684421e-07]",0.837,29.0825,21.3096,2025-05-09 10:14:28
data/ct_data/foot_50.pickle,360,"[2.5671966e-07 1.8295731e-07 2.4291845e-07 ... 8.1183367e-07 1.4605837e-07
 2.7300732e-07]",0.837,29.0888,21.2585,2025-05-09 10:15:05
data/ct_data/foot_50.pickle,370,"[1.1924462e-07 4.0947339e-07 2.9017102e-07 ... 3.4007678e-07 4.3035686e-07
 7.2832569e-07]",0.8381,29.1415,21.2276,2025-05-09 10:15:42
data/ct_data/foot_50.pickle,380,"[2.4131555e-07 2.4495935e-07 2.9966793e-07 ... 6.5871041e-07 3.6769143e-07
 2.6483062e-07]",0.8389,29.1536,21.1865,2025-05-09 10:16:17
data/ct_data/foot_50.pickle,390,"[2.0677282e-07 1.2892066e-07 4.8004927e-07 ... 1.5450628e-07 3.6024613e-07
 8.9627349e-07]",0.8389,29.1646,21.1954,2025-05-09 10:16:54
data/ct_data/foot_50.pickle,400,"[7.1777635e-08 4.6787267e-07 5.6710616e-07 ... 9.7490307e-08 2.9193160e-07
 3.9353753e-07]",0.8395,29.1802,21.1132,2025-05-09 10:17:28
data/ct_data/foot_50.pickle,410,"[2.9127443e-07 2.1921103e-07 3.2481731e-07 ... 6.5092075e-07 1.4818252e-07
 4.6528712e-07]",0.8391,29.1324,21.1429,2025-05-09 10:18:06
data/ct_data/foot_50.pickle,420,"[4.8470628e-07 1.3499535e-07 7.3178023e-07 ... 2.6584962e-07 4.6434690e-07
 4.5246227e-07]",0.8398,29.2024,21.1643,2025-05-09 10:18:42
data/ct_data/foot_50.pickle,430,"[2.6112804e-07 1.3909765e-07 4.5784552e-07 ... 3.6850710e-07 9.7906067e-08
 1.8844899e-07]",0.8401,29.2115,21.1411,2025-05-09 10:19:17
data/ct_data/foot_50.pickle,440,"[3.4443721e-07 3.5671695e-07 4.6600744e-07 ... 3.5038204e-07 1.4218939e-07
 2.5820597e-07]",0.8404,29.1897,21.1654,2025-05-09 10:19:51
data/ct_data/foot_50.pickle,450,"[7.3486268e-07 5.2405835e-07 5.8558214e-07 ... 1.3184891e-07 1.8788718e-07
 4.5158777e-07]",0.8409,29.2255,21.0664,2025-05-09 10:20:26
data/ct_data/foot_50.pickle,460,"[5.6274405e-07 3.2223318e-07 4.5775997e-07 ... 4.9910625e-07 6.0040907e-07
 1.6033962e-07]",0.84,29.2012,21.1236,2025-05-09 10:21:03
data/ct_data/foot_50.pickle,470,"[3.9967449e-07 3.8708632e-07 2.8293326e-07 ... 2.6108816e-07 4.7090307e-07
 7.7031706e-07]",0.8412,29.2511,21.0679,2025-05-09 10:21:37
data/ct_data/foot_50.pickle,480,"[1.4269023e-07 1.2433977e-06 2.6709810e-07 ... 4.3725859e-07 9.9497061e-07
 9.1748996e-07]",0.8411,29.2035,21.0815,2025-05-09 10:22:11
data/ct_data/foot_50.pickle,490,"[2.1490727e-07 3.4075688e-07 1.3982230e-07 ... 2.8699660e-07 9.2225525e-07
 7.3934439e-07]",0.8406,29.2066,21.1191,2025-05-09 10:22:47
data/ct_data/foot_50.pickle,500,"[7.9523602e-07 2.2556002e-07 3.0227949e-07 ... 4.2212790e-07 2.1861928e-07
 1.8601615e-07]",0.8416,29.2264,21.055,2025-05-09 10:23:21
