dataset,epoch,loss,ssim,psnr,mse,timestamp
./data/ct_data/foot_50.pickle,10,"[6.8285789e-07 1.2961247e-06 1.0642516e-06 ... 4.7000157e-07 1.7914250e-06
 1.0520259e-06]",0.7784,25.7791,25.4203,2025-05-13 15:11:02
./data/ct_data/foot_50.pickle,20,"[3.5133503e-06 1.2190867e-06 3.3990412e-07 ... 9.9060389e-07 1.0137967e-06
 1.6099534e-06]",0.8035,27.6036,23.4689,2025-05-13 15:15:10
./data/ct_data/foot_50.pickle,30,"[1.4871994e-06 9.6168151e-07 1.0307175e-06 ... 1.3924638e-06 1.5377612e-06
 2.3424461e-06]",0.8017,27.611,24.1001,2025-05-13 15:19:11
./data/ct_data/foot_50.pickle,40,"[9.3103199e-07 3.0219536e-07 6.4179005e-07 ... 7.3278056e-07 3.2208300e-07
 6.5671748e-07]",0.8227,28.5774,22.3459,2025-05-13 15:23:16
./data/ct_data/foot_50.pickle,50,"[1.3345220e-06 6.5565524e-07 1.0719574e-06 ... 2.7243721e-07 5.9331194e-07
 1.0313533e-06]",0.8254,28.9287,22.1214,2025-05-13 15:27:18
./data/ct_data/foot_50.pickle,60,"[3.1997396e-07 4.6176413e-07 4.3075062e-07 ... 6.1771090e-07 2.4918495e-07
 1.7963865e-07]",0.8309,29.3413,21.6777,2025-05-13 15:31:21
./data/ct_data/foot_50.pickle,70,"[5.6814775e-07 1.8614529e-07 3.5619192e-07 ... 2.8476509e-07 2.1357580e-07
 7.0642352e-07]",0.8333,29.5869,21.478,2025-05-13 15:35:26
./data/ct_data/foot_50.pickle,80,"[2.6255898e-07 7.8524340e-07 1.5041303e-07 ... 4.2541865e-07 1.6974452e-07
 2.8486741e-07]",0.8356,29.7062,21.3683,2025-05-13 15:39:30
./data/ct_data/foot_50.pickle,90,"[6.0685329e-07 2.0091076e-07 2.6178819e-07 ... 3.5634565e-07 4.6279598e-07
 2.4490240e-07]",0.8371,29.7705,21.1021,2025-05-13 15:43:32
./data/ct_data/foot_50.pickle,100,"[4.4040951e-07 2.5530250e-07 3.3071319e-07 ... 1.3435067e-07 3.4434041e-07
 6.6624352e-07]",0.8407,29.9921,20.8765,2025-05-13 15:47:35
