dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/foot_50.pickle,10,"[3.0917337e-05 4.7636582e-05 1.0061428e-05 ... 7.9287993e-06 6.2548047e-06
 1.6768454e-05]",0.5587,20.5385,37.3935,2025-05-08 13:37:36
data/ct_data/foot_50.pickle,20,"[2.8990137e-06 3.8822263e-06 8.9836522e-06 ... 2.6750060e-06 6.9211565e-06
 2.8303016e-06]",0.6866,23.8601,30.0659,2025-05-08 13:38:09
data/ct_data/foot_50.pickle,30,"[1.7922644e-06 1.1754412e-06 9.9573822e-07 ... 1.6101990e-06 1.1733420e-06
 1.3930356e-06]",0.7273,25.1678,27.6916,2025-05-08 13:38:42
data/ct_data/foot_50.pickle,40,"[1.0530199e-06 1.8235786e-06 5.3901317e-07 ... 6.0346395e-07 1.1147376e-06
 2.5277279e-06]",0.7398,25.9226,26.5062,2025-05-08 13:39:15
data/ct_data/foot_50.pickle,50,"[1.1360459e-06 1.0751583e-06 1.4857141e-06 ... 5.0450330e-07 1.4818617e-06
 1.6462116e-06]",0.7587,26.4377,25.5762,2025-05-08 13:39:48
data/ct_data/foot_50.pickle,60,"[1.0971573e-06 7.6935976e-07 1.5246017e-06 ... 2.3201922e-06 6.8814319e-07
 8.5877031e-07]",0.7663,26.8149,25.098,2025-05-08 13:40:21
data/ct_data/foot_50.pickle,70,"[6.2229316e-07 1.2763246e-06 9.9444276e-07 ... 8.4782920e-07 1.7470408e-06
 2.4133824e-06]",0.7828,27.3233,24.127,2025-05-08 13:40:53
data/ct_data/foot_50.pickle,80,"[1.3616711e-06 9.9327758e-07 1.2195788e-06 ... 6.9405252e-07 3.1795858e-07
 8.5046906e-07]",0.7902,27.4607,23.9767,2025-05-08 13:41:26
data/ct_data/foot_50.pickle,90,"[4.5336375e-07 6.2715372e-07 1.3761012e-06 ... 3.6384805e-07 4.8275268e-07
 5.5102504e-07]",0.799,27.7498,23.4653,2025-05-08 13:41:59
data/ct_data/foot_50.pickle,100,"[4.0182212e-07 6.2824182e-07 7.3926168e-07 ... 4.6557889e-07 5.8191159e-07
 1.1306473e-06]",0.8075,27.9773,23.1108,2025-05-08 13:42:32
data/ct_data/foot_50.pickle,110,"[3.0781669e-07 1.0851307e-06 7.8638573e-07 ... 7.5740996e-07 8.7940026e-07
 1.4402265e-07]",0.8081,27.8829,23.2804,2025-05-08 13:43:05
data/ct_data/foot_50.pickle,120,"[5.1785696e-07 8.1715416e-07 7.2700709e-07 ... 7.4922139e-07 1.1662194e-06
 7.4931580e-07]",0.8126,28.1919,22.7987,2025-05-08 13:43:38
