dataset,epoch,loss,ssim,psnr,mse,timestamp
./data/ct_data/foot_50.pickle,10,"[6.7654269e-06 4.4491148e-06 2.6343548e-06 ... 1.2292404e-06 2.9867433e-06
 5.6878239e-06]",0.76,24.6245,28.9866,2025-05-12 12:26:44
./data/ct_data/foot_50.pickle,20,"[2.6436205e-06 8.3289831e-07 8.5805141e-07 ... 1.0920211e-06 1.6037244e-06
 1.1268282e-06]",0.7963,26.7793,23.7249,2025-05-12 12:28:33
./data/ct_data/foot_50.pickle,30,"[4.1067995e-07 5.4482661e-07 2.5293903e-07 ... 1.1261145e-06 2.8529260e-07
 2.0344869e-06]",0.8069,27.0364,23.3053,2025-05-12 12:30:21
./data/ct_data/foot_50.pickle,40,"[4.9844755e-07 3.5363195e-07 9.4367306e-07 ... 8.7399496e-07 2.8202211e-07
 4.7455433e-07]",0.8123,27.2622,23.2824,2025-05-12 12:32:10
./data/ct_data/foot_50.pickle,50,"[2.3633736e-06 2.6883535e-07 6.6845780e-07 ... 8.8618322e-07 4.3795987e-07
 1.9782102e-07]",0.8154,27.1844,23.54,2025-05-12 12:33:59
./data/ct_data/foot_50.pickle,60,"[5.2749743e-07 7.2015922e-07 4.7703173e-07 ... 6.4553592e-07 7.3243979e-07
 6.0248749e-07]",0.8173,27.0882,23.527,2025-05-12 12:35:48
./data/ct_data/foot_50.pickle,70,"[2.2573765e-06 3.9853049e-07 2.8301159e-07 ... 1.1840251e-07 2.7403721e-07
 5.3208925e-07]",0.8194,26.8235,23.8826,2025-05-12 12:37:37
./data/ct_data/foot_50.pickle,80,"[4.7556776e-07 8.2853626e-07 5.9309218e-07 ... 4.1820601e-07 1.0034403e-06
 2.2423357e-07]",0.8232,27.2918,23.4627,2025-05-12 12:39:25
./data/ct_data/foot_50.pickle,90,"[6.2507343e-07 2.2477805e-07 6.0681515e-07 ... 3.5049482e-07 3.0071658e-07
 5.6796785e-07]",0.8219,27.2442,23.772,2025-05-12 12:41:14
./data/ct_data/foot_50.pickle,100,"[5.7962717e-07 6.4305148e-08 4.3100309e-07 ... 2.3511430e-07 2.1969417e-07
 3.0408467e-07]",0.8262,27.345,23.336,2025-05-12 12:43:02
./data/ct_data/foot_50.pickle,110,"[4.7598894e-07 5.0723418e-07 9.7954148e-07 ... 2.3999860e-07 1.9267567e-07
 2.5372208e-07]",0.8217,26.2895,24.6108,2025-05-12 12:44:52
./data/ct_data/foot_50.pickle,120,"[2.7693608e-07 4.0340808e-07 1.8644364e-07 ... 3.9665750e-07 2.3776047e-07
 2.7728535e-07]",0.8222,26.1771,24.8698,2025-05-12 12:46:41
./data/ct_data/foot_50.pickle,130,"[1.3319120e-06 4.5292072e-07 3.8363495e-07 ... 2.8092208e-07 3.4056177e-07
 3.4188088e-07]",0.8215,25.9702,25.0341,2025-05-12 12:48:29
./data/ct_data/foot_50.pickle,140,"[4.0152193e-07 2.2267794e-07 4.5662898e-07 ... 3.1374060e-07 3.7988792e-07
 1.7838032e-07]",0.822,25.9855,25.3213,2025-05-12 12:50:17
./data/ct_data/foot_50.pickle,150,"[8.9768582e-07 2.4282687e-07 3.9909108e-07 ... 2.3717701e-07 3.4605841e-07
 3.5749161e-07]",0.8244,26.231,24.7283,2025-05-12 12:52:06
./data/ct_data/foot_50.pickle,160,"[8.7102597e-07 3.6305491e-07 2.8970101e-07 ... 5.5629297e-08 1.4093703e-07
 2.1422039e-07]",0.8188,25.3319,26.2889,2025-05-12 12:53:54
./data/ct_data/foot_50.pickle,170,"[2.0085280e-07 1.5907158e-07 1.7161379e-07 ... 1.9216300e-07 2.1643032e-07
 4.8508343e-07]",0.8243,25.9873,25.5676,2025-05-12 12:55:42
./data/ct_data/foot_50.pickle,180,"[7.3361190e-07 4.2605120e-07 4.7942376e-07 ... 1.4878033e-07 8.0971880e-08
 1.7648574e-07]",0.8213,25.5912,26.1927,2025-05-12 12:57:31
./data/ct_data/foot_50.pickle,190,"[4.9405895e-07 2.4908465e-07 2.5606818e-07 ... 1.7390482e-07 1.9055663e-07
 4.0888416e-08]",0.8261,26.1648,24.9377,2025-05-12 12:59:20
./data/ct_data/foot_50.pickle,200,"[2.9567639e-07 1.5427855e-07 1.5209815e-07 ... 1.5950114e-07 1.9057387e-07
 1.2787471e-07]",0.8284,26.3815,24.8832,2025-05-12 13:01:09
./data/ct_data/foot_50.pickle,210,"[3.9478243e-07 9.3766673e-08 3.1767289e-07 ... 2.1470818e-07 3.1393250e-07
 2.0315223e-07]",0.8315,26.6826,24.3249,2025-05-12 13:02:58
./data/ct_data/foot_50.pickle,220,"[5.4531336e-07 1.6051382e-07 1.5838488e-07 ... 3.7686053e-07 2.1708922e-07
 3.4923141e-07]",0.8312,26.7558,24.44,2025-05-12 13:04:46
./data/ct_data/foot_50.pickle,230,"[1.9012222e-07 2.6380735e-07 6.6717874e-08 ... 5.7170348e-07 1.6653414e-07
 1.6216848e-07]",0.8341,27.0743,23.7669,2025-05-12 13:06:35
./data/ct_data/foot_50.pickle,240,"[1.6543063e-07 1.6994456e-07 1.7291568e-07 ... 3.0474533e-07 5.0529491e-07
 2.1061703e-07]",0.8334,26.9588,24.1827,2025-05-12 13:08:24
./data/ct_data/foot_50.pickle,250,"[1.5650618e-06 6.2359004e-07 3.3496232e-07 ... 2.7372286e-07 1.9129828e-07
 4.4806401e-07]",0.8364,27.2493,23.7231,2025-05-12 13:10:12
./data/ct_data/foot_50.pickle,260,"[5.1760753e-07 4.1790474e-07 5.4944156e-08 ... 1.5145957e-07 2.0455590e-07
 2.3060427e-07]",0.8383,27.4269,23.4766,2025-05-12 13:12:02
./data/ct_data/foot_50.pickle,270,"[1.5180552e-07 3.7446576e-08 4.3623339e-07 ... 2.8548638e-07 2.1116153e-07
 1.4629545e-07]",0.8394,27.6342,23.1259,2025-05-12 13:13:53
./data/ct_data/foot_50.pickle,280,"[4.2187551e-07 1.3128852e-07 1.0173500e-07 ... 2.7283292e-07 1.7530292e-07
 1.6703351e-07]",0.8382,27.4007,23.3954,2025-05-12 13:15:42
./data/ct_data/foot_50.pickle,290,"[2.3162895e-07 1.2412161e-07 1.2571235e-07 ... 2.6554605e-07 2.1704173e-07
 1.6138360e-07]",0.8404,27.8686,22.9115,2025-05-12 13:17:34
./data/ct_data/foot_50.pickle,300,"[2.0492708e-07 1.3163873e-07 1.2178161e-07 ... 1.4032943e-07 8.0766696e-08
 3.2984792e-07]",0.8456,28.8833,21.7166,2025-05-12 13:19:24
./data/ct_data/foot_50.pickle,310,"[2.4820321e-07 2.6671586e-07 5.4620042e-08 ... 2.6974561e-07 2.6273727e-07
 3.3589535e-07]",0.8386,27.3745,23.8482,2025-05-12 13:21:13
./data/ct_data/foot_50.pickle,320,"[4.0734471e-07 4.8554074e-07 1.2452703e-07 ... 1.6342054e-07 2.3964077e-07
 4.8617812e-07]",0.8428,28.0652,22.6746,2025-05-12 13:23:02
