dataset,epoch,loss,ssim,psnr,mse,timestamp
dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/jaw_50.pickle,0,[0.00390478 0.0039258  0.00376793 ... 0.00394829 0.00378832 0.00382634],0.242,12.632,116.874,2025-05-02 13:23:58
data/ct_data/jaw_50.pickle,1,[0.0001116  0.00013892 0.00017149 ... 0.00011359 0.00011611 0.00010822],0.238,12.444,115.899,2025-05-02 13:24:05
data/ct_data/jaw_50.pickle,2,[0.00010509 0.00011729 0.00012305 ... 0.00010298 0.00013526 0.00011598],0.221,11.719,112.081,2025-05-02 13:24:12
data/ct_data/jaw_50.pickle,3,"[1.3448365e-04 1.3560870e-04 8.0179118e-05 ... 9.7412951e-05 1.2234481e-04
 1.3165144e-04]",0.199,10.708,108.092,2025-05-02 13:24:19
data/ct_data/jaw_50.pickle,4,"[8.6872882e-05 9.2023110e-05 8.1319769e-05 ... 9.6094584e-05 1.0347218e-04
 8.1668819e-05]",0.159,8.602,113.74,2025-05-02 13:24:25
data/ct_data/jaw_50.pickle,5,"[4.8042108e-05 5.9317979e-05 4.5965702e-05 ... 5.3544150e-05 4.0079540e-05
 5.4368538e-05]",0.127,6.098,108.28,2025-05-02 13:24:33
data/ct_data/jaw_50.pickle,6,"[2.5412708e-05 3.7048678e-05 2.7838374e-05 ... 2.6892474e-05 3.1943458e-05
 3.2287680e-05]",0.252,9.84,109.183,2025-05-02 13:24:40
data/ct_data/jaw_50.pickle,7,"[1.7207620e-05 1.3810083e-05 2.3446373e-05 ... 2.0445930e-05 1.8629049e-05
 2.2928847e-05]",0.296,11.555,107.922,2025-05-02 13:24:47
data/ct_data/jaw_50.pickle,8,"[1.3872227e-05 1.4579036e-05 1.0643166e-05 ... 2.2624812e-05 1.2243775e-05
 1.9153864e-05]",0.337,13.641,97.495,2025-05-02 13:24:55
data/ct_data/jaw_50.pickle,9,"[1.0955799e-05 1.2826236e-05 7.9666961e-06 ... 9.5223022e-06 8.8526431e-06
 7.9142328e-06]",0.373,15.129,90.603,2025-05-02 13:25:03
data/ct_data/jaw_50.pickle,10,"[6.2622303e-06 1.3769206e-05 1.5512251e-05 ... 8.5813726e-06 1.3610947e-05
 7.5776970e-06]",0.387,16.107,89.768,2025-05-02 13:25:10
data/ct_data/jaw_50.pickle,11,"[8.3895138e-06 8.3513278e-06 6.5813492e-06 ... 8.5006723e-06 5.7129173e-06
 4.6457353e-06]",0.386,16.372,90.539,2025-05-02 13:25:22
data/ct_data/jaw_50.pickle,12,"[6.5694940e-06 6.5814679e-06 6.6216908e-06 ... 8.4051890e-06 5.8525334e-06
 6.0819980e-06]",0.387,16.732,91.724,2025-05-02 13:25:29
data/ct_data/jaw_50.pickle,13,"[3.7441266e-06 4.4123367e-06 6.8318968e-06 ... 3.3799422e-06 6.1953237e-06
 6.4014271e-06]",0.379,16.677,93.693,2025-05-02 13:25:36
data/ct_data/jaw_50.pickle,14,"[6.4490673e-06 3.7655823e-06 7.7224740e-06 ... 5.0279937e-06 5.7975062e-06
 7.7006735e-06]",0.387,17.198,93.187,2025-05-02 13:25:43
data/ct_data/jaw_50.pickle,15,"[8.0089594e-06 5.2513724e-06 1.1738577e-05 ... 4.6201899e-06 4.0526047e-06
 3.6746239e-06]",0.388,17.513,93.119,2025-05-02 13:25:50
data/ct_data/jaw_50.pickle,16,"[4.5698398e-06 4.6181008e-06 6.0253146e-06 ... 3.9019342e-06 4.9399714e-06
 7.5360349e-06]",0.404,18.172,92.516,2025-05-02 13:25:57
data/ct_data/jaw_50.pickle,17,"[3.1618390e-06 3.8259341e-06 4.6803852e-06 ... 4.1836920e-06 3.6477024e-06
 2.9807793e-06]",0.411,18.677,92.395,2025-05-02 13:26:04
data/ct_data/jaw_50.pickle,18,"[4.4312878e-06 5.6409172e-06 3.2964128e-06 ... 3.9705064e-06 4.0968985e-06
 2.5604347e-06]",0.438,19.751,90.397,2025-05-02 13:26:12
data/ct_data/jaw_50.pickle,19,"[2.1360424e-06 2.1787635e-06 8.3261984e-06 ... 3.1303175e-06 3.9398205e-06
 4.8446955e-06]",0.45,20.552,89.383,2025-05-02 13:26:19
data/ct_data/jaw_50.pickle,20,"[2.7940880e-06 4.0701266e-06 2.6918362e-06 ... 4.9514679e-06 4.6488117e-06
 2.5381048e-06]",0.468,21.063,87.585,2025-05-02 13:26:26
data/ct_data/jaw_50.pickle,21,"[2.5028903e-06 4.5049337e-06 4.8137213e-06 ... 3.7215204e-06 3.5228866e-06
 3.0949363e-06]",0.491,22.495,84.334,2025-05-02 13:26:38
data/ct_data/jaw_50.pickle,22,"[3.6423728e-06 2.0883774e-06 3.9756110e-06 ... 2.0198981e-06 2.7723959e-06
 2.4526794e-06]",0.512,22.968,78.207,2025-05-02 13:26:45
data/ct_data/jaw_50.pickle,23,"[2.4060578e-06 3.4684035e-06 5.1496540e-06 ... 2.7489871e-06 2.0324615e-06
 8.5645843e-06]",0.532,24.352,74.182,2025-05-02 13:26:53
data/ct_data/jaw_50.pickle,24,"[3.3613944e-06 2.2778029e-06 2.3463542e-06 ... 1.6307698e-06 1.6373151e-06
 2.2469396e-06]",0.544,24.264,69.337,2025-05-02 13:27:00
data/ct_data/jaw_50.pickle,25,"[2.6605569e-06 1.3493000e-06 2.1633982e-06 ... 2.5355323e-06 3.2529524e-06
 2.3703258e-06]",0.554,25.24,67.731,2025-05-02 13:27:07
