dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/jaw_50.pickle,10,"[1.9172030e-05 1.6568483e-05 1.1636019e-05 ... 1.8047462e-05 9.1042621e-06
 1.2186099e-05]",0.3641,15.6828,99.8182,2025-05-09 10:54:22
data/ct_data/jaw_50.pickle,20,"[4.2610095e-06 3.4611758e-06 2.2542351e-06 ... 4.4392723e-06 3.1964280e-06
 4.9031391e-06]",0.5425,24.3062,69.0867,2025-05-09 10:54:58
data/ct_data/jaw_50.pickle,30,"[9.5143639e-07 2.4006383e-06 2.0471477e-06 ... 1.9755857e-06 1.5187968e-06
 1.5616428e-06]",0.6218,27.4104,48.1331,2025-05-09 10:55:35
data/ct_data/jaw_50.pickle,40,"[1.3379149e-06 1.9617996e-06 2.2903937e-06 ... 1.0864040e-06 9.5720975e-07
 1.8271911e-06]",0.6401,27.5384,46.96,2025-05-09 10:56:10
data/ct_data/jaw_50.pickle,50,"[2.0379457e-06 2.1594396e-06 2.3496127e-06 ... 1.7139860e-06 2.8388472e-06
 1.7241215e-06]",0.6477,27.9394,45.32,2025-05-09 10:56:47
data/ct_data/jaw_50.pickle,60,"[1.2321991e-06 1.2358121e-06 1.4277981e-06 ... 1.4332876e-06 1.0445549e-06
 1.8145735e-06]",0.6541,28.4112,43.095,2025-05-09 10:57:22
data/ct_data/jaw_50.pickle,70,"[9.0403745e-07 8.1892648e-07 9.1961317e-07 ... 9.8534144e-07 8.4113776e-07
 6.7997507e-07]",0.6774,29.1579,39.7818,2025-05-09 10:58:01
data/ct_data/jaw_50.pickle,80,"[5.8158219e-07 4.2276486e-07 5.8447836e-07 ... 7.1530945e-07 7.7198916e-07
 8.0349724e-07]",0.6981,29.6622,37.3329,2025-05-09 10:58:46
data/ct_data/jaw_50.pickle,90,"[6.3073725e-07 6.4580394e-07 5.3823447e-07 ... 8.6512739e-07 2.1554374e-07
 6.3675742e-07]",0.7125,29.9769,35.8673,2025-05-09 10:59:28
data/ct_data/jaw_50.pickle,100,"[2.7470122e-07 3.7305364e-07 3.5390141e-07 ... 1.9543697e-07 5.0083526e-07
 2.7635625e-07]",0.7278,30.3418,33.9655,2025-05-09 11:00:06
data/ct_data/jaw_50.pickle,110,"[4.0101867e-07 5.5437164e-07 4.1259511e-07 ... 6.9578988e-07 5.6978888e-07
 5.2182656e-07]",0.7373,30.518,33.1108,2025-05-09 11:00:46
data/ct_data/jaw_50.pickle,120,"[3.8279708e-07 3.5072182e-07 7.5254434e-07 ... 3.7440751e-07 2.2102049e-07
 1.9188526e-07]",0.7447,30.6744,32.4293,2025-05-09 11:01:25
data/ct_data/jaw_50.pickle,130,"[2.4542166e-07 3.2606013e-07 5.3250045e-07 ... 3.3229696e-07 2.0312741e-07
 3.3057751e-07]",0.7506,30.8085,31.7264,2025-05-09 11:02:02
data/ct_data/jaw_50.pickle,140,"[2.6736706e-07 6.8238973e-07 4.9705784e-07 ... 6.0144879e-07 2.6726812e-07
 5.3091230e-07]",0.7523,30.7989,31.9228,2025-05-09 11:02:39
data/ct_data/jaw_50.pickle,150,"[1.8276783e-07 3.2151016e-07 5.7177311e-07 ... 2.8933408e-07 3.1916744e-07
 6.5250805e-07]",0.7568,30.9433,31.0942,2025-05-09 11:03:18
data/ct_data/jaw_50.pickle,160,"[2.7962218e-07 3.9776339e-07 3.1574092e-07 ... 5.7031798e-07 3.4910374e-07
 3.5013858e-07]",0.7632,31.0883,30.2623,2025-05-09 11:03:54
data/ct_data/jaw_50.pickle,170,"[4.4111295e-07 2.6851731e-07 2.3813003e-07 ... 4.0565928e-07 3.7210884e-07
 2.2712771e-07]",0.7667,31.1897,29.955,2025-05-09 11:04:29
data/ct_data/jaw_50.pickle,180,"[1.7451549e-07 5.7788031e-07 2.3981002e-07 ... 2.9675834e-07 4.1092161e-07
 3.6413695e-07]",0.7696,31.2422,29.6461,2025-05-09 11:05:05
data/ct_data/jaw_50.pickle,190,"[3.2985642e-07 3.3415191e-07 3.7480223e-07 ... 3.6374487e-07 1.9306111e-07
 1.9154297e-07]",0.7702,31.2523,29.7423,2025-05-09 11:05:42
data/ct_data/jaw_50.pickle,200,"[1.6470830e-07 5.4858663e-07 3.6216946e-07 ... 2.9290763e-07 3.4583573e-07
 4.2220185e-07]",0.7729,31.2867,29.4273,2025-05-09 11:06:19
data/ct_data/jaw_50.pickle,210,"[6.4780352e-07 2.1325837e-07 3.4645578e-07 ... 3.4771608e-07 2.9380871e-07
 3.4862222e-07]",0.7734,31.3341,29.4655,2025-05-09 11:07:09
data/ct_data/jaw_50.pickle,220,"[2.0819297e-07 1.9347566e-07 2.9930180e-07 ... 4.0931030e-07 3.2152522e-07
 2.0025016e-07]",0.7785,31.4689,28.6555,2025-05-09 11:07:58
data/ct_data/jaw_50.pickle,230,"[3.4007581e-07 2.9519936e-07 3.1211769e-07 ... 4.8198598e-07 3.9247914e-07
 2.4094157e-07]",0.7785,31.4568,28.9055,2025-05-09 11:08:46
data/ct_data/jaw_50.pickle,240,"[3.2945357e-07 1.5222962e-07 1.9723505e-07 ... 3.3676019e-07 3.9587391e-07
 5.1284127e-07]",0.7807,31.5053,28.617,2025-05-09 11:09:36
data/ct_data/jaw_50.pickle,250,"[2.9881861e-07 2.7924548e-07 4.6458590e-07 ... 2.6018432e-07 2.5516223e-07
 1.7988546e-07]",0.7817,31.5307,28.6456,2025-05-09 11:10:24
