dataset,epoch,loss,ssim,psnr,mse,timestamp
./data/ct_data/jaw_50.pickle,10,"[9.0216838e-07 1.5824900e-06 1.1962832e-06 ... 1.2377988e-06 1.8037742e-06
 1.7967462e-06]",0.6869,28.36,48.6652,2025-05-13 15:11:43
./data/ct_data/jaw_50.pickle,20,"[4.1055003e-07 6.3454422e-07 6.6719912e-07 ... 2.8761087e-07 7.0164788e-07
 1.1958831e-06]",0.7642,30.7334,31.906,2025-05-13 15:15:54
./data/ct_data/jaw_50.pickle,30,"[6.3088447e-07 6.0432990e-07 3.7612531e-07 ... 2.8272763e-07 4.8122706e-07
 4.1223655e-07]",0.7888,31.6628,28.5156,2025-05-13 15:20:01
./data/ct_data/jaw_50.pickle,40,"[2.9867152e-07 4.0970147e-07 4.8631176e-07 ... 2.2491902e-07 4.9427547e-07
 2.0656579e-07]",0.8034,32.187,26.6038,2025-05-13 15:24:10
./data/ct_data/jaw_50.pickle,50,"[2.9536088e-07 4.0538072e-07 2.2832378e-07 ... 6.0361583e-07 1.4691577e-07
 5.4921634e-07]",0.8134,32.5231,25.4046,2025-05-13 15:28:17
./data/ct_data/jaw_50.pickle,60,"[1.4056047e-07 4.0648328e-07 3.6032398e-07 ... 3.0381406e-07 2.7779797e-07
 1.8234869e-07]",0.8199,32.7441,24.4096,2025-05-13 15:32:25
./data/ct_data/jaw_50.pickle,70,"[2.5455603e-07 2.1577266e-07 1.5922318e-07 ... 1.9685972e-07 1.6019384e-07
 3.2521348e-07]",0.8267,33.0318,23.6647,2025-05-13 15:36:33
./data/ct_data/jaw_50.pickle,80,"[2.89621823e-07 1.59407378e-07 2.85110218e-07 ... 2.91001868e-07
 3.25339471e-07 1.16110435e-07]",0.8312,33.2414,22.9933,2025-05-13 15:40:37
./data/ct_data/jaw_50.pickle,90,"[2.3523963e-07 2.5343704e-07 4.4129928e-07 ... 2.8527646e-07 3.8831010e-07
 2.9720781e-07]",0.8329,33.2617,22.8494,2025-05-13 15:44:42
./data/ct_data/jaw_50.pickle,100,"[1.6953895e-07 1.1840867e-07 1.2825981e-07 ... 2.7043490e-07 3.6613849e-07
 3.0368960e-07]",0.8385,33.5307,21.9711,2025-05-13 15:48:50
./data/ct_data/jaw_50.pickle,110,"[1.3157405e-07 1.7052658e-07 1.8836531e-07 ... 1.8360547e-07 3.9237398e-07
 2.2233321e-07]",0.8408,33.6146,21.6921,2025-05-13 15:53:07
./data/ct_data/jaw_50.pickle,120,"[2.0119164e-07 2.0226898e-07 1.3399979e-07 ... 1.9489252e-07 1.2783401e-07
 1.4215527e-07]",0.8438,33.7248,21.2013,2025-05-13 15:57:15
./data/ct_data/jaw_50.pickle,130,"[1.77885283e-07 1.23873221e-07 1.35465257e-07 ... 1.08855076e-07
 8.39149479e-08 1.84277582e-07]",0.8453,33.8252,20.9943,2025-05-13 16:01:24
./data/ct_data/jaw_50.pickle,140,"[8.42122674e-08 1.10023194e-07 9.57987538e-08 ... 1.45951802e-07
 1.78998292e-07 2.99051294e-07]",0.8464,33.8647,20.8591,2025-05-13 16:05:33
./data/ct_data/jaw_50.pickle,150,"[1.0971588e-07 1.3334662e-07 7.6510190e-08 ... 1.2780308e-07 1.8590461e-07
 2.1134748e-07]",0.848,33.9102,20.6237,2025-05-13 16:09:42
./data/ct_data/jaw_50.pickle,160,"[1.0344680e-07 1.8947037e-07 1.6528845e-07 ... 1.2414620e-07 2.6204268e-07
 1.3959435e-07]",0.8509,34.0194,20.2651,2025-05-13 16:13:56
./data/ct_data/jaw_50.pickle,170,"[1.8149079e-07 1.0186786e-07 1.7800228e-07 ... 1.4478464e-07 1.8180008e-07
 2.2472321e-07]",0.8503,34.0108,20.2762,2025-05-13 16:18:08
./data/ct_data/jaw_50.pickle,180,"[9.0011532e-08 8.5756966e-08 1.7913084e-07 ... 1.4070660e-07 2.5520293e-07
 1.4759161e-07]",0.8515,34.0579,20.0982,2025-05-13 16:22:13
./data/ct_data/jaw_50.pickle,190,"[9.55888311e-08 7.51316520e-08 7.01033684e-08 ... 1.18570107e-07
 1.01076765e-07 1.18836617e-07]",0.853,34.0939,19.9576,2025-05-13 16:26:16
./data/ct_data/jaw_50.pickle,200,"[1.05437202e-07 1.05441480e-07 9.83587611e-08 ... 1.45512516e-07
 1.15319224e-07 1.13233810e-07]",0.8551,34.1704,19.6195,2025-05-13 16:30:22
./data/ct_data/jaw_50.pickle,210,"[1.10340153e-07 1.33938144e-07 1.14154375e-07 ... 6.67332500e-08
 1.40386689e-07 2.05469533e-07]",0.8555,34.1718,19.5192,2025-05-13 16:34:32
./data/ct_data/jaw_50.pickle,220,"[8.77548629e-08 1.04489381e-07 1.06690194e-07 ... 1.17045232e-07
 2.20160715e-07 1.57335847e-07]",0.8564,34.2598,19.4509,2025-05-13 16:38:29
./data/ct_data/jaw_50.pickle,230,"[1.21315921e-07 8.87859528e-08 4.76416844e-08 ... 1.81917315e-07
 1.07936465e-07 9.38743412e-08]",0.8573,34.3762,19.2988,2025-05-13 16:42:31
./data/ct_data/jaw_50.pickle,240,"[1.02775473e-07 1.02345645e-07 9.26717902e-08 ... 5.60742563e-08
 1.24791754e-07 7.80849518e-08]",0.8585,34.328,19.1644,2025-05-13 16:46:34
./data/ct_data/jaw_50.pickle,250,"[6.4889420e-08 1.4065844e-07 9.6997240e-08 ... 1.9744363e-07 1.2804310e-07
 1.6823580e-07]",0.8597,34.4971,18.9065,2025-05-13 16:50:37
./data/ct_data/jaw_50.pickle,260,"[1.49627596e-07 1.09384025e-07 1.52309951e-07 ... 5.47017969e-08
 1.34773771e-07 7.20116589e-08]",0.8599,34.4715,18.8782,2025-05-13 16:54:42
./data/ct_data/jaw_50.pickle,270,"[1.6438207e-07 1.4321620e-07 5.4481458e-08 ... 9.2178965e-08 6.6577869e-08
 2.2117052e-07]",0.8614,34.5092,18.6247,2025-05-13 16:58:47
./data/ct_data/jaw_50.pickle,280,"[1.6609938e-07 9.7838047e-08 8.4404483e-08 ... 8.8367457e-08 9.6225136e-08
 1.0637082e-07]",0.8611,34.5084,18.724,2025-05-13 17:02:54
./data/ct_data/jaw_50.pickle,290,"[1.6114799e-07 1.1226782e-07 6.4175829e-08 ... 6.3494966e-08 6.0837685e-08
 1.3703645e-07]",0.8628,34.5427,18.4694,2025-05-13 17:07:01
./data/ct_data/jaw_50.pickle,300,"[1.2394686e-07 5.2743626e-08 6.7039039e-08 ... 9.8624199e-08 1.5937431e-07
 8.4844380e-08]",0.8634,34.653,18.362,2025-05-13 17:11:08
./data/ct_data/jaw_50.pickle,310,"[1.4789015e-07 9.2862820e-08 2.1232076e-07 ... 1.1356574e-07 1.2079751e-07
 9.4363735e-08]",0.8635,34.6348,18.3783,2025-05-13 17:15:15
./data/ct_data/jaw_50.pickle,320,"[1.4411737e-07 1.2853116e-07 1.6673020e-07 ... 8.2745665e-08 1.1981626e-07
 1.1407116e-07]",0.8645,34.6667,18.2615,2025-05-13 17:19:24
./data/ct_data/jaw_50.pickle,330,"[6.2221474e-08 9.2759684e-08 4.4747161e-08 ... 6.1900394e-08 9.9229553e-08
 1.6488202e-07]",0.8645,34.628,18.2823,2025-05-13 17:23:32
./data/ct_data/jaw_50.pickle,340,"[1.14571606e-07 1.11054391e-07 6.27360421e-08 ... 1.22216136e-07
 1.22729986e-07 1.22804124e-07]",0.8659,34.6609,18.0573,2025-05-13 17:27:40
./data/ct_data/jaw_50.pickle,350,"[5.5040019e-08 1.2004622e-07 9.4987271e-08 ... 6.7722731e-08 1.1410906e-07
 1.1586886e-07]",0.8658,34.6567,18.0744,2025-05-13 17:31:47
