dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/chest_50.pickle,0,[0.00100647 0.00110806 0.00106418 ... 0.00101906 0.00097538 0.00127922],0.1569,10.4671,89.4948,2025-05-05 15:22:49
data/ct_data/chest_50.pickle,1,[0.00025249 0.00023235 0.00021259 ... 0.00026254 0.00019543 0.00021153],0.1874,11.5686,108.6598,2025-05-05 15:23:19
data/ct_data/chest_50.pickle,2,"[8.2267557e-05 1.2982877e-04 1.1450730e-04 ... 9.0320595e-05 8.7751301e-05
 6.9599242e-05]",0.2236,12.8986,94.2491,2025-05-05 15:23:49
data/ct_data/chest_50.pickle,3,"[3.8877010e-05 4.4216136e-05 2.4799807e-05 ... 4.0122228e-05 3.9084844e-05
 5.5833094e-05]",0.251,13.9065,95.4068,2025-05-05 15:24:21
data/ct_data/chest_50.pickle,4,"[1.26868135e-05 9.64391620e-06 9.98206360e-06 ... 1.51345630e-05
 9.34283344e-06 8.42113786e-06]",0.32,13.6435,87.4491,2025-05-05 15:24:51
data/ct_data/chest_50.pickle,5,"[7.1258637e-06 9.7897519e-06 1.0011518e-05 ... 8.0291675e-06 9.2089540e-06
 1.0469114e-05]",0.3437,13.1895,85.7786,2025-05-05 15:25:24
data/ct_data/chest_50.pickle,6,"[5.8023220e-06 3.4553730e-06 5.7079724e-06 ... 2.6983114e-06 6.5736940e-06
 5.4115867e-06]",0.3988,13.5238,82.6988,2025-05-05 15:25:55
data/ct_data/chest_50.pickle,7,"[2.5346549e-06 2.8351878e-06 5.5928317e-06 ... 5.2283676e-06 5.4954789e-06
 6.2677773e-06]",0.4121,13.8921,81.2467,2025-05-05 15:26:25
data/ct_data/chest_50.pickle,8,"[3.9647125e-06 2.7792159e-06 3.6101419e-06 ... 6.7652268e-06 2.9412886e-06
 3.0344847e-06]",0.4607,14.312,80.5681,2025-05-05 15:26:56
data/ct_data/chest_50.pickle,9,"[3.5000430e-06 3.9124898e-06 4.7931394e-06 ... 2.1524338e-06 2.5292056e-06
 7.1408008e-06]",0.442,14.1766,79.5471,2025-05-05 15:27:25
data/ct_data/chest_50.pickle,10,"[1.0216194e-05 3.7188261e-06 4.5918332e-06 ... 4.7071803e-06 4.5740758e-06
 4.9470041e-06]",0.4846,14.0162,81.3085,2025-05-05 15:27:55
data/ct_data/chest_50.pickle,11,"[5.3195527e-06 3.7132329e-06 2.8652832e-06 ... 9.5227761e-06 4.5990196e-06
 6.1836581e-06]",0.4647,13.7654,78.373,2025-05-05 15:28:27
data/ct_data/chest_50.pickle,12,"[5.1119728e-06 3.9047400e-06 3.2734754e-06 ... 3.9447095e-06 3.8231838e-06
 2.0446764e-06]",0.5039,13.6257,79.689,2025-05-05 15:28:56
data/ct_data/chest_50.pickle,13,"[2.7971410e-06 2.3938160e-06 3.1957356e-06 ... 2.1640058e-06 3.5684989e-06
 1.9835795e-06]",0.5214,14.4037,72.5635,2025-05-05 15:29:26
data/ct_data/chest_50.pickle,14,"[1.7446084e-06 1.4241979e-06 3.2211121e-06 ... 2.2439542e-06 2.2340569e-06
 1.6456198e-06]",0.5362,14.8884,74.8585,2025-05-05 15:29:56
data/ct_data/chest_50.pickle,15,"[1.6806936e-06 1.6082548e-06 1.7350387e-06 ... 1.7715877e-06 1.5846589e-06
 1.5284686e-06]",0.5544,15.7999,73.6101,2025-05-05 15:30:25
data/ct_data/chest_50.pickle,16,"[1.0658991e-06 1.6399239e-06 1.1414385e-06 ... 1.5059860e-06 1.0146558e-06
 5.7414223e-07]",0.5704,16.4723,76.6847,2025-05-05 15:30:55
data/ct_data/chest_50.pickle,17,"[7.5972042e-07 6.3287337e-07 7.9034697e-07 ... 6.6882450e-07 2.8929076e-06
 9.4031168e-07]",0.5864,17.3418,76.625,2025-05-05 15:31:24
data/ct_data/chest_50.pickle,18,"[9.8299813e-07 7.2929703e-07 6.5639995e-07 ... 7.2710048e-07 1.1829760e-06
 7.1717653e-07]",0.6022,18.0474,76.6796,2025-05-05 15:31:54
data/ct_data/chest_50.pickle,19,"[6.4733285e-07 4.8869913e-07 5.6847398e-07 ... 1.1191398e-06 6.6870240e-07
 1.3327793e-06]",0.6125,18.6319,74.9333,2025-05-05 15:32:24
data/ct_data/chest_50.pickle,20,"[6.6515736e-07 3.8081799e-07 1.3568421e-06 ... 1.2150031e-06 9.4610448e-07
 5.4577106e-07]",0.627,19.2241,73.8337,2025-05-05 15:32:53
data/ct_data/chest_50.pickle,21,"[4.2398781e-07 7.1319010e-07 1.1727931e-06 ... 5.0939121e-07 7.9159145e-07
 6.5333586e-07]",0.6344,19.6289,72.5947,2025-05-05 15:33:25
data/ct_data/chest_50.pickle,22,"[9.2635690e-07 6.2432520e-07 8.6156609e-07 ... 6.2980348e-07 7.1096088e-07
 4.4398806e-07]",0.6468,20.0862,71.9781,2025-05-05 15:33:55
data/ct_data/chest_50.pickle,23,"[6.1028982e-07 8.5796773e-07 6.3338388e-07 ... 1.0489728e-06 6.5097475e-07
 5.8944471e-07]",0.6519,20.4624,70.7407,2025-05-05 15:34:24
data/ct_data/chest_50.pickle,24,"[8.0502980e-07 6.4393259e-07 7.2939736e-07 ... 5.5327592e-07 9.7406485e-07
 1.2927431e-06]",0.6641,20.9017,70.5521,2025-05-05 15:34:53
data/ct_data/chest_50.pickle,25,"[5.6838127e-07 6.4534720e-07 6.2549520e-07 ... 8.9551463e-07 5.8096811e-07
 5.3304456e-07]",0.6654,21.0867,69.8044,2025-05-05 15:35:23
data/ct_data/chest_50.pickle,26,"[4.9851735e-07 6.6536529e-07 4.4913878e-07 ... 3.1252742e-07 3.7501871e-07
 5.1214215e-07]",0.678,21.4613,69.6314,2025-05-05 15:35:52
